Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2014/10/28,hou,lal,108,90,beverpa01,hardeja01,joneste01,arizatr01,blackta01,terryja01,howardw01,papanko01,linje01,bryanko01,boozeca01,pricero01,hilljo01,johnswe01,davised01,clarkjo01,1855,1846,1831,1774,1453,1283,1234,1192,1748,1740,1655,1616,1403,1372,1295,1222
2014/10/28,orl,nop,84,101,harrito02,vucevni01,fournev01,paytoel01,gordoaa01,gordobe01,oquinky01,ridnolu01,davisan02,evansty01,asikom01,gordoer01,holidjr01,anderry01,riverau01,fredeji01,2192,2103,1935,1846,1707,1381,1282,1034,2180,2080,2010,1891,1622,1341,1189,1068
2014/10/28,dal,sas,100,101,ellismo01,parsoch01,nowitdi01,nelsoja01,harride01,chandty01,wrighbr03,jefferi01,parketo01,greenda02,diawbo01,belinma01,duncati01,ginobma01,baynear01,bonnema01,2233,2029,1900,1828,1747,1665,1084,802,2090,2042,2008,1845,1811,1661,1069,872
2014/10/29,brk,bos,105,121,willide01,johnsjo02,jackja01,bogdabo02,anderal01,teletmi01,garneke01,plumlma01,greenje02,bradlav01,rondora01,olynyke01,sullija01,smartma01,turneev01,bassbr01,2343,2067,1805,1565,1487,1401,1361,689,2138,1813,1785,1712,1697,1669,1417,949
2014/10/29,mil,cho,106,108,knighbr03,parkeja01,middlkh01,dudleja01,sandela01,mayooj01,antetgi01,pachuza01,jeffeal01,stephla01,walkeke02,kiddgmi01,willima02,nealga01,zelleco01,roberbr01,2327,2213,2156,1570,1569,1454,1440,868,2429,2395,2339,2022,1991,1414,1189,841
2014/10/29,det,den,79,89,smithjo03,caldwke01,singlky01,augusdj01,drumman01,butleca01,anthojo01,jennibr01,afflaar01,lawsoty01,farieke01,mozgoti01,chandwi01,gallida01,arthuda01,foyera01,2150,2139,1793,1692,1623,1368,1257,1188,2389,1983,1661,1527,1422,1098,983,929
2014/10/29,phi,ind,91,103,wroteto01,noelne01,johnsch04,thompho01,shvedal01,simshe01,mcdankj01,daviebr01,sloando01,milescj01,hibbero01,copelch01,scolalu01,hillso01,allenla01,stuckro01,2110,2093,1932,1710,1436,1409,1182,1078,2052,1991,1937,1571,1484,1350,1207,971
2014/10/29,min,mem,101,105,rubiori01,youngth01,pekovni01,breweco01,willima01,muhamsh01,dienggo01,wiggian01,gasolma01,leeco01,randoza01,conlemi01,allento01,leuerjo01,cartevi01,udrihbe01,2148,2046,1726,1591,1546,1355,1154,1113,2215,2130,2077,2039,1993,1154,982,841
2014/10/29,was,mia,95,107,gortama01,walljo01,goodedr01,piercpa01,templga01,porteot01,humphkr01,millean02,boshch01,willish03,wadedw01,denglu01,coleno01,chalmma01,anderch01,napiesh01,2414,2241,2018,1962,1855,1410,801,624,2348,1901,1886,1818,1667,1529,1450,921
2014/10/29,chi,nyk,104,80,dunlemi02,gasolpa01,gibsota01,mcderdo01,hinriki01,brookaa01,rosede01,noahjo01,anthoca01,larkish01,stoudam01,smithjr01,acyqu01,shumpim01,dalemsa01,hardati02,1861,1750,1691,1458,1422,1419,1281,1191,1728,1535,1435,1296,1288,1214,1191,1073
2014/10/29,lal,pho,99,119,davised01,pricero01,johnswe01,bryanko01,hilljo01,ellinwa01,boozeca01,linje01,morrima03,dragigo01,bledser01,morrima02,plumlmi01,greenge01,thomais02,lenal01,1958,1777,1701,1673,1526,1475,1381,1266,1747,1572,1568,1552,1488,1320,1217,1122
