Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2010/10/26,mia,bos,80,88,jamesle01,boshch01,wadedw01,hasleud01,houseed01,jonesja02,anthojo01,arroyca01,rondora01,piercpa01,allenra02,garneke01,davisgl01,onealsh01,daniema01,onealje01,2559,2257,2201,1836,1590,1564,1001,753,2489,2433,2356,2113,1764,1089,769,767
2010/10/26,hou,lal,110,112,brookaa01,scolalu01,battish01,martike02,millebr01,mingya01,budinch01,leeco01,gasolpa01,bryanko01,odomla01,artesro01,fishede01,blakest01,brownsh01,ratlith01,2499,1991,1884,1769,1479,1401,1301,903,2407,2224,1974,1761,1373,1292,1275,1013
2010/10/26,pho,por,92,106,nashst01,richaja01,turkohe01,hillgr01,fryech01,lopezro01,dudleja01,warriha01,roybr01,aldrila01,matthwe02,cambyma01,batumni01,millean02,fernaru01,cunnida01,2125,2105,1633,1565,1524,1490,1098,1091,2388,2297,1824,1802,1607,1602,1310,824
2010/10/27,bos,cle,87,95,rondora01,allenra02,piercpa01,davisgl01,garneke01,onealsh01,daniema01,onealje01,parkean01,sessira01,varejan01,hicksjj01,moonja01,gibsoda01,jamisan01,holliry01,2304,2126,1999,1974,1748,1262,1101,742,2094,2082,1948,1790,1750,1628,1254,932
2010/10/27,cha,dal,86,101,wallage01,augusdj01,diawbo01,jacksst02,thomaty01,mohamna01,hendege02,livinsh01,nowitdi01,terryja01,butleca01,kiddja01,mariosh01,chandty01,haywobr01,bareajo01,2594,2433,2114,1804,1796,1082,973,857,2185,2124,2037,1906,1550,1386,1219,1203
2010/10/27,uta,den,88,110,jeffeal01,bellra01,willide01,millspa01,haywago01,watsoea01,kirilan01,elsonfr01,anthoca01,afflaar01,billuch01,willish02,lawsoty01,harrial01,hilarne01,smithjr01,1836,1765,1651,1646,1256,1182,1150,931,2166,2088,1703,1669,1465,1422,1393,1353
2010/10/27,hou,gsw,128,132,hayesch01,scolalu01,brookaa01,martike02,leeco01,battish01,budinch01,jeffrja01,ellismo01,leeda02,curryst01,wrighdo01,biedran01,carnero01,willire02,wrighbr03,2346,2253,2154,2095,1372,1358,1201,944,2385,2382,2344,2155,1612,1007,997,644
2010/10/27,por,lac,98,88,roybr01,cambyma01,millean02,aldrila01,batumni01,matthwe02,fernaru01,cunnida01,griffbl01,gordoer01,kamanch01,davisba01,butlera01,gomesry01,foyera01,jordade01,2392,2231,2192,1942,1935,1038,992,887,2316,2157,2142,1953,1772,1686,1347,564
2010/10/27,atl,mem,119,104,willima02,johnsjo02,pachuza01,bibbymi01,crawfja01,smithjo03,poweljo01,horfoal01,conlemi01,mayooj01,arthuda01,gayru01,youngsa01,thabeha01,randoza01,henryxa01,1880,1842,1777,1643,1523,1495,1201,1076,2167,2011,1844,1841,1580,1124,926,869
2010/10/27,sac,min,117,116,udrihbe01,landrca01,garcifr01,greendo01,couside01,casspom01,headlu01,thompja02,beaslmi01,ridnolu01,ellinwa01,tollian01,loveke01,milicda01,johnswe01,telfase01,2331,2210,2021,1611,1591,1238,1203,1151,2057,1907,1722,1705,1417,1412,1083,973
2010/10/27,det,njn,98,101,hamilri01,princta01,stuckro01,wallabe01,gordobe01,villach01,dayeau01,maxieja01,morroan01,lopezbr01,willite01,harride01,farmajo01,outlatr01,favorde01,smithjo02,1909,1886,1763,1620,1405,1369,1271,1234,2241,2235,1942,1843,1320,1284,1200,325
2010/10/27,mil,noh,91,95,jennibr01,delfica01,bogutan01,goodedr01,salmojo01,maggeco01,doolike01,ilyaser01,arizatr01,paulch01,belinma01,westda01,okafoem01,smithja02,greenwi01,thornma01,2480,2312,2175,1952,1949,1190,1008,943,2485,2234,2128,1619,1543,1478,728,674
2010/10/27,chi,okc,95,106,noahjo01,denglu01,boganke01,gibsota01,rosede01,watsocj01,korveky01,brewero02,duranke01,greenje02,westbru01,ibakase01,sefolth01,hardeja01,cookda02,krstine01,2332,2212,2149,2014,1879,1001,937,910,2470,2393,2075,1911,1497,1215,1065,969
2010/10/27,mia,phi,97,87,boshch01,jamesle01,wadedw01,jonesja02,arroyca01,houseed01,anthojo01,hasleud01,iguodan01,brandel01,willilo02,turneev01,youngth01,holidjr01,hawessp01,kaponja01,2349,2253,2120,1771,1708,1299,1057,762,2335,2032,2025,1840,1549,1277,856,775
2010/10/27,ind,sas,109,122,grangda01,dunlemi02,hibbero01,collida01,mcrobjo01,poseyja01,georgpa01,fordtj01,parketo01,duncati01,ginobma01,hillge01,anderja01,jefferi01,blairde01,mcdyean01,2232,2055,1999,1941,1444,1436,1362,1050,2285,1964,1914,1660,1608,1272,1210,1140
2010/10/27,nyk,tor,98,93,feltora01,stoudam01,gallida01,fieldla01,chandwi01,douglto01,turiaro01,mozgoti01,bargnan01,evansre01,jackja01,kleizli01,derozde01,barbole01,weemsso01,caldejo01,2227,2158,1971,1790,1753,1609,1403,446,2123,1994,1844,1639,1573,1465,1176,1075
2010/10/28,was,orl,83,112,walljo01,hinriki01,jianlyi01,thornal01,blatcan01,martica01,youngni01,mcgeeja01,howardw01,richaqu01,cartevi01,lewisra02,nelsoja01,redicjj01,duhonch01,gortama01,2116,2007,1669,1463,1439,1417,1239,1172,1779,1572,1529,1437,1428,1255,1161,1101
2010/10/28,pho,uta,110,94,nashst01,hillgr01,fryech01,richaja01,warriha01,turkohe01,dudleja01,lopezro01,willide01,bellra01,jeffeal01,millspa01,kirilan01,haywago01,milescj01,fesenky01,1973,1725,1696,1694,1583,1297,1186,1184,2410,2242,2214,2043,1893,1500,918,406
2010/10/29,nyk,bos,101,105,feltora01,stoudam01,fieldla01,chandwi01,douglto01,turiaro01,mozgoti01,gallida01,rondora01,allenra02,piercpa01,garneke01,davisgl01,onealsh01,robinna01,daniema01,2201,2151,2062,2006,1494,1333,1004,713,2720,2427,2326,1762,1416,1352,1200,1041
2010/10/29,ind,cha,104,101,hibbero01,grangda01,dunlemi02,collida01,fordtj01,georgpa01,hansbty01,mcrobjo01,augusdj01,wallage01,diawbo01,jacksst02,diopde01,thomaty01,brownde04,mohamna01,2277,2251,2062,1462,1418,1287,1192,1033,2459,2451,1973,1732,1308,1266,936,803
2010/10/29,mem,dal,91,90,gayru01,conlemi01,mayooj01,gasolma01,arthuda01,allento01,henryxa01,thabeha01,nowitdi01,terryja01,kiddja01,butleca01,chandty01,mariosh01,haywobr01,bareajo01,2635,2243,2212,1983,1599,823,747,705,2270,2184,2082,2054,1701,1443,1173,958
2010/10/29,okc,det,105,104,greenje02,duranke01,westbru01,sefolth01,ibakase01,krstine01,hardeja01,cookda02,stuckro01,princta01,gordobe01,hamilri01,villach01,dayeau01,maxieja01,wallabe01,2519,2467,2327,1723,1684,1196,985,946,2348,2306,1861,1765,1594,1495,1431,1239
2010/10/29,lac,gsw,91,109,davisba01,gordoer01,kamanch01,griffbl01,gomesry01,foyera01,butlera01,jordade01,wrighdo01,ellismo01,leeda02,curryst01,willire02,carnero01,radmavl01,biedran01,2058,1913,1810,1753,1751,1549,1400,813,2292,1969,1834,1613,1576,1190,1190,959
2010/10/29,orl,mia,70,96,redicjj01,howardw01,nelsoja01,lewisra02,pietrmi01,duhonch01,richaqu01,cartevi01,wadedw01,jamesle01,boshch01,jonesja02,arroyca01,houseed01,hasleud01,anthojo01,1853,1711,1489,1483,1414,1391,1301,817,2047,1802,1788,1616,1501,1454,1361,1355
2010/10/29,mil,min,85,96,jennibr01,maggeco01,delfica01,bogutan01,salmojo01,goodedr01,mbahalu01,boykiea01,ridnolu01,beaslmi01,johnswe01,loveke01,milicda01,tollian01,breweco01,ellinwa01,2053,1833,1755,1694,1301,1130,1098,871,1987,1880,1642,1622,1475,1378,1262,1238
2010/10/29,sac,njn,100,106,evansty01,udrihbe01,garcifr01,landrca01,jacksda01,couside01,headlu01,casspom01,lopezbr01,harride01,morroan01,outlatr01,farmajo01,humphkr01,favorde01,smithjo02,2173,2173,1898,1672,1328,1271,1220,1206,2150,2101,2052,1861,1537,1363,1189,593
2010/10/29,den,noh,95,101,anthoca01,hilarne01,afflaar01,billuch01,harrial01,willish02,smithjr01,lawsoty01,paulch01,westda01,arizatr01,okafoem01,belinma01,thornma01,bayleje01,stojape01,2375,2208,2141,2108,1514,1415,1285,1027,2225,2196,1896,1858,1419,1108,865,814
