Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2015/10/27,det,atl,106,94,drumman01,morrima03,caldwke01,ilyaser01,jacksre01,johnsst04,blakest01,meeksjo01,millspa01,teaguje01,horfoal01,korveky01,schrode01,bazemke01,sefolth01,pattela01,2229,2225,2223,2066,1927,1469,953,657,2160,1912,1814,1722,1522,1250,1136,1098
2015/10/27,cle,chi,95,97,willima01,jamesle01,loveke01,smithjr01,thomptr01,mozgoti01,dellama01,jefferi01,butleji01,rosede01,gasolpa01,snellto01,mirotni01,gibsota01,noahjo01,mcderdo01,2229,2164,2089,1827,1495,1254,1212,1017,2198,1948,1893,1728,1514,1326,1027,972
2015/10/27,nop,gsw,95,111,smithis01,davisan02,gordoer01,anderry01,geeal01,cunnida01,robinna01,perkike01,curryst01,barneha02,greendr01,thompkl01,iguodan01,livinsh01,barbole01,bogutan01,2281,2071,2009,1720,1616,1591,1143,953,2137,1962,1766,1586,1403,1280,1230,1122
2015/10/28,phi,bos,95,112,okafoja01,canaais01,thompho01,noelne01,mccontj01,sampsja02,grantje01,holmeri01,bradlav01,smartma01,crowdja01,thomais02,turneev01,leeda02,sullija01,zellety01,2285,2279,2164,2102,1655,1617,1597,365,1956,1943,1872,1749,1321,1317,1263,639
2015/10/28,chi,brk,115,100,butleji01,gasolpa01,mirotni01,rosede01,snellto01,mcderdo01,gibsota01,noahjo01,lopezbr01,johnsjo02,bogdabo02,youngth01,holliro01,larkish01,bargnan01,ellinwa01,2059,1814,1777,1766,1305,1212,1103,1066,2000,1941,1724,1468,1455,1393,1329,723
2015/10/28,uta,det,87,92,goberru01,haywago01,favorde01,hoodro01,netora01,burksal01,inglejo01,burketr01,drumman01,caldwke01,morrima03,jacksre01,ilyaser01,johnsst04,tollian01,blakest01,2245,2127,2082,1765,1587,1586,983,935,2167,2148,2129,1875,1306,1175,1150,1005
2015/10/28,den,hou,105,85,mudiaem01,gallida01,farieke01,harriga01,nelsoja01,lauvejo01,bartowi01,foyera01,lawsoty01,hardeja01,arizatr01,breweco01,joneste01,capelca01,beverpa01,harremo01,2274,2136,1850,1769,1470,1293,1174,1080,2202,2183,1990,1765,1712,1495,1276,950
2015/10/28,min,lal,112,111,rubiori01,townska01,wiggian01,martike02,bjeline01,dienggo01,princta01,garneke01,randlju01,clarkjo01,bryanko01,hibbero01,willilo02,russeda01,kellyry01,youngni01,1949,1913,1745,1738,1356,1219,877,773,1804,1783,1736,1687,1647,1550,1238,1144
2015/10/28,cle,mem,106,76,smithjr01,jamesle01,loveke01,mozgoti01,willima01,thomptr01,jefferi01,dellama01,leeco01,randoza01,gasolma01,conlemi01,allento01,greenje02,barnema02,wrighbr03,2031,1848,1731,1504,1358,1199,1100,1079,1876,1854,1783,1766,1359,1204,1050,1001
2015/10/28,cho,mia,94,104,willima02,walkeke02,batumni01,zelleco01,linje01,jeffeal01,hairspj02,hawessp01,boshch01,dragigo01,denglu01,greenge01,wadedw01,winslju01,whiteha01,chalmma01,2272,2081,1950,1799,1621,1306,1106,1099,1939,1853,1825,1825,1740,1530,1215,1027
2015/10/28,nyk,mil,122,97,anthoca01,vujacsa01,gallola01,porzikr01,grantje02,oquinky01,lopezro01,caldejo01,middlkh01,monrogr01,cartemi01,bayleje01,vasqugr01,copelch01,obryajo01,inglida01,1756,1725,1488,1455,1451,1409,1192,1078,2119,2071,2033,1803,1759,1169,992,884
2015/10/28,sas,okc,106,112,leonaka01,aldrila01,greenda02,duncati01,parketo01,millspa02,diawbo01,ginobma01,westbru01,duranke01,ibakase01,adamsst01,kanteen01,morroan01,waitedi01,roberan03,2119,1914,1751,1557,1549,1331,1208,1130,2219,2070,2038,1774,1445,1298,1284,995
2015/10/28,was,orl,88,87,walljo01,bealbr01,porteot01,gortama01,humphkr01,goodedr01,nealga01,sessira01,oladivi01,paytoel01,harrito02,vucevni01,fournev01,hezonma01,watsocj01,gordoaa01,2363,2256,2215,2139,1560,1190,1092,844,2158,2086,1865,1709,1619,1516,1261,1021
2015/10/28,dal,pho,111,95,feltora01,matthwe02,evansje01,pachuza01,bareajo01,harride01,nowitdi01,willide01,knighbr03,bledser01,bookede01,leuerjo01,warretj01,chandty01,morrima02,tuckepj01,1989,1566,1544,1500,1486,1391,1243,1203,2065,1883,1280,1213,1207,1021,673,550
2015/10/28,nop,por,94,112,gordoer01,davisan02,anderry01,cunnida01,smithis01,holidjr01,geeal01,perkike01,mccolcj01,lillada01,leoname01,aminual01,davised01,crabbal01,plumlma01,harklma01,2447,2439,2312,1881,1715,1267,1075,568,2243,2154,2042,1868,1747,1294,1133,1093
2015/10/28,lac,sac,111,104,griffbl01,paulch01,redicjj01,jordade01,piercpa01,crawfja01,stephla01,smithjo03,couside01,belinma01,gayru01,collida01,rondora01,koufoko01,casspom01,mclembe01,2295,2194,1845,1626,1440,1268,1148,978,2077,1917,1881,1822,1515,1352,1207,1204
2015/10/28,ind,tor,99,106,hillge01,georgpa01,milescj01,ellismo01,mahinia01,stuckro01,hilljo01,budinch01,carrode01,lowryky01,derozde01,valanjo01,josepco01,pattepa01,scolalu01,biyombi01,2261,2195,2140,1712,1487,1452,1395,891,2471,2338,2152,1937,1663,1158,1049,943
2015/10/29,mem,ind,112,103,gasolma01,conlemi01,randoza01,leeco01,greenje02,allento01,barnema02,udrihbe01,hillge01,georgpa01,ellismo01,mahinia01,stuckro01,milescj01,hilljo01,turnemy01,1951,1816,1772,1754,1748,1332,1268,1068,2326,2080,1936,1770,1531,1246,1189,1078
2015/10/29,dal,lac,88,104,jenkijo01,feltora01,nowitdi01,evansje01,harride01,villach01,bareajo01,pachuza01,griffbl01,jordade01,riverau01,paulch01,redicjj01,johnswe01,stephla01,piercpa01,2118,1515,1502,1442,1391,1380,1271,1102,1607,1552,1468,1462,1432,1307,1252,1171
2015/10/29,atl,nyk,112,101,millspa01,korveky01,horfoal01,teaguje01,bazemke01,splitti01,pattela01,schrode01,anthoca01,grantje02,porzikr01,gallola01,vujacsa01,thomala01,lopezro01,caldejo01,2070,1935,1834,1785,1510,1396,1260,1095,1914,1725,1537,1518,1510,1343,1277,1093
2015/10/30,cho,atl,94,97,willima02,walkeke02,batumni01,jeffeal01,linje01,hawessp01,zelleco01,hairspj02,millspa01,horfoal01,teaguje01,schrode01,bazemke01,pattela01,sefolth01,splitti01,2136,2076,2002,1792,1627,1071,1011,996,2213,2092,2021,1981,1838,1271,1255,948
