Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2012/10/30,was,cle,84,94,priceaj01,crawfjo02,okafoem01,arizatr01,webstma02,bealbr01,veselja01,booketr01,varejan01,irvinky01,geeal01,thomptr01,waitedi01,milescj01,gibsoda01,zellety01,1764,1722,1475,1475,1405,1293,1274,1005,2242,2074,2033,1891,1694,1062,971,893
2012/10/30,dal,lal,99,91,brandel01,mariosh01,collida01,mayooj01,cartevi01,wrighbr03,crowdja01,beaubro01,gasolpa01,howardw01,artesro01,bryanko01,nashst01,jamisan01,hilljo01,blakest01,2172,1973,1920,1870,1610,1171,1170,1010,2419,2279,2189,2092,2049,902,855,831
2012/10/30,bos,mia,107,120,rondora01,piercpa01,garneke01,bassbr01,terryja01,leeco01,greenje02,barbole01,boshch01,chalmma01,wadedw01,allenra02,battish01,jamesle01,lewisra02,hasleud01,2613,2434,1903,1699,1491,1440,1384,950,2217,2189,2107,1835,1745,1732,1135,663
2012/10/31,sac,chi,87,93,evansty01,thornma01,thompja02,couside01,thomais02,brookaa01,robinth01,johnsja01,denglu01,noahjo01,boozeca01,hamilri01,hinriki01,robinna01,gibsota01,belinma01,2345,1908,1655,1502,1483,1397,1293,1288,2493,2401,2005,1863,1763,1185,1154,702
2012/10/31,hou,det,105,96,hardeja01,parsoch01,linje01,asikom01,morrima03,delfica01,smithgr02,douglto01,stuckro01,knighbr03,monrogr01,princta01,maxieja01,jerebjo01,singlky01,engliki01,2644,2546,2127,1982,1536,1436,1022,753,2207,2205,2107,1942,1440,1172,938,827
2012/10/31,mem,lac,92,101,randoza01,gasolma01,gayru01,conlemi01,allento01,speigma01,ellinwa01,bayleje01,butleca01,paulch01,griffbl01,crawfja01,greenwi01,jordade01,bledser01,odomla01,2371,2331,2298,2065,1710,1025,931,920,2065,2054,1929,1791,1733,1403,1031,996
2012/10/31,sas,noh,99,95,parketo01,duncati01,leonaka01,greenda02,diawbo01,jacksst02,nealga01,splitti01,vasqugr01,aminual01,davisan02,anderry01,masonro01,lopezro01,riverau01,smithja02,2125,2062,2057,1957,1789,1485,1040,950,2248,2226,1744,1731,1623,1532,1446,994
2012/10/31,den,phi,75,84,lawsoty01,iguodan01,millean02,koufoko01,breweco01,chandwi01,farieke01,hamiljo02,holidjr01,richaja01,youngth01,hawessp01,turneev01,wrighdo01,youngni01,allenla01,2198,2088,1941,1780,1642,1234,1027,771,2484,2191,2187,1862,1708,1658,1121,1018
2012/10/31,gsw,pho,87,85,leeda02,thompkl01,curryst01,jackja01,rushbr01,landrca01,bogutan01,barneha02,dragigo01,dudleja01,gortama01,scolalu01,tuckepj01,beaslmi01,morrima02,brownsh01,2355,2025,1822,1772,1410,1376,1109,828,2203,2106,2051,1917,1384,1328,963,946
2012/10/31,lal,por,106,116,howardw01,gasolpa01,bryanko01,artesro01,blakest01,nashst01,jamisan01,ebankde01,batumni01,aldrila01,matthwe02,lillada01,hicksjj01,leoname01,pavloal01,smithno01,2481,2391,2309,1952,1665,962,794,742,2425,2322,2211,2099,1480,1400,1085,820
2012/10/31,ind,tor,90,88,greenge01,georgpa01,hillge01,hibbero01,westda01,hansbty01,mahinia01,augusdj01,lowryky01,bargnan01,derozde01,caldejo01,fieldla01,valanjo01,anderal01,johnsam01,2201,2110,1968,1754,1674,1207,1124,912,2172,2062,1649,1543,1445,1385,1130,1025
2012/10/31,dal,uta,94,113,collida01,mayooj01,mariosh01,wrighbr03,brandel01,crowdja01,cartevi01,jamesbe01,millspa01,willima01,willima02,jeffeal01,haywago01,foyera01,tinslja01,favorde01,1961,1839,1767,1553,1542,1298,1200,969,1975,1792,1773,1710,1429,1315,1088,1079
2012/11/01,okc,sas,84,86,duranke01,westbru01,martike02,ibakase01,perkike01,sefolth01,collini01,thabeha01,diawbo01,parketo01,greenda02,duncati01,leonaka01,jacksst02,nealga01,blairde01,2439,2247,1951,1862,1679,1638,1201,729,2120,2092,2075,2023,1926,1643,1007,631
2012/11/02,hou,atl,109,102,linje01,hardeja01,asikom01,parsoch01,pattepa01,delfica01,morrima03,aldrico01,smithjo03,horfoal01,willilo02,stevede01,teaguje01,pachuza01,harride01,korveky01,2390,2389,2113,1841,1738,1547,1142,751,2493,2248,1838,1739,1621,1311,1301,885
2012/11/02,mil,bos,99,88,ellismo01,harrito02,jennibr01,ilyaser01,udohek01,dunlemi02,sandela01,dalemsa01,rondora01,leeco01,piercpa01,bassbr01,greenje02,garneke01,terryja01,sullija01,2193,1973,1715,1520,1401,1361,1300,928,2430,1979,1667,1615,1602,1530,1481,1079
2012/11/02,ind,cha,89,90,georgpa01,westda01,hillge01,greenge01,stephla01,hibbero01,mahinia01,augusdj01,hendege02,walkeke02,haywobr01,mulleby01,gordobe01,sessira01,kiddgmi01,thomaty01,2160,2042,2034,1914,1506,1423,1291,1006,2131,1981,1874,1866,1323,1279,1177,1014
2012/11/02,chi,cle,115,86,noahjo01,denglu01,boozeca01,robinna01,hamilri01,belinma01,gibsota01,hinriki01,irvinky01,varejan01,waitedi01,geeal01,thomptr01,gibsoda01,milescj01,sloando01,1905,1850,1633,1625,1595,1285,1092,1043,1801,1772,1502,1489,1412,1259,1107,1079
2012/11/02,mem,gsw,104,94,gasolma01,randoza01,gayru01,conlemi01,allento01,speigma01,pondequ01,ellinwa01,curryst01,thompkl01,leeda02,jackja01,landrca01,barneha02,bogutan01,ezelife01,2242,2169,2089,2038,1789,1099,1070,1063,2550,2307,2098,1637,1420,1402,1080,751
2012/11/02,lac,lal,105,95,paulch01,griffbl01,crawfja01,barnema02,butleca01,jordade01,odomla01,greenwi01,bryanko01,gasolpa01,blakest01,artesro01,howardw01,jamisan01,morrida01,ebankde01,2042,1987,1873,1697,1517,1378,1116,796,2575,2330,2321,2298,1828,1179,768,573
2012/11/02,sac,min,80,92,thompja02,evansty01,thornma01,thomais02,couside01,johnsja01,hayesch01,garcifr01,pekovni01,kirilan01,roybr01,bareajo01,cunnida01,budinch01,willide02,ridnolu01,2011,1775,1659,1545,1519,1245,1209,920,1909,1836,1814,1651,1528,1289,1270,1229
2012/11/02,uta,noh,86,88,willima01,willima02,jeffeal01,foyera01,haywago01,millspa01,favorde01,kanteen01,vasqugr01,lopezro01,aminual01,anderry01,riverau01,smithja02,masonro01,davisan02,1883,1728,1696,1612,1555,1526,1354,1183,2194,2153,2054,1874,1721,1152,949,865
2012/11/02,mia,nyk,84,104,jamesle01,wadedw01,boshch01,allenra02,battish01,coleno01,lewisra02,chalmma01,anthoca01,smithjr01,feltora01,novakst01,chandty01,kiddja01,brewero02,prigipa01,2201,2087,1606,1605,1467,1379,1222,1174,2335,2051,1978,1551,1483,1395,1221,983
2012/11/02,por,okc,92,106,lillada01,batumni01,aldrila01,matthwe02,hicksjj01,pavloal01,leoname01,smithno01,duranke01,westbru01,martike02,collini01,ibakase01,perkike01,sefolth01,thabeha01,2253,2201,2150,2127,1537,1364,880,627,2561,2117,1728,1658,1600,1272,1096,1051
2012/11/02,den,orl,89,102,lawsoty01,iguodan01,gallida01,koufoko01,breweco01,millean02,farieke01,chandwi01,nelsoja01,redicjj01,davisgl01,afflaar01,mcrobjo01,mooreet01,turkohe01,vucevni01,2257,2158,2096,1645,1418,1234,1179,1124,2100,2086,2027,1931,1629,1472,1002,964
2012/11/02,det,pho,89,92,princta01,maxieja01,knighbr03,monrogr01,singlky01,stuckro01,drumman01,bynumwi01,gortama01,dragigo01,scolalu01,beaslmi01,dudleja01,brownsh01,morrima02,telfase01,2061,1883,1881,1750,1435,1327,1130,1000,2133,2061,1723,1718,1498,1483,1154,823
2012/11/03,tor,brk,100,107,lowryky01,bargnan01,derozde01,fieldla01,caldejo01,grayaa01,johnsam01,valanjo01,johnsjo02,willide01,lopezbr01,wallage01,watsocj01,humphkr01,brookma01,evansre01,2382,2059,2024,1320,1266,1110,1011,733,2380,2335,1895,1800,1662,1367,1105,941
2012/11/03,noh,chi,89,82,anderry01,vasqugr01,riverau01,lopezro01,aminual01,masonro01,milleda01,smithja02,noahjo01,denglu01,belinma01,boozeca01,hinriki01,robinna01,gibsota01,hamilri01,2530,2146,2030,1965,1614,1267,1078,927,2599,2575,1765,1548,1440,1440,1272,1115
2012/11/03,cha,dal,99,126,mulleby01,walkeke02,haywobr01,sessira01,kiddgmi01,hendege02,thomaty01,gordobe01,collida01,mayooj01,wrighbr03,cartevi01,mariosh01,crowdja01,kamanch01,brandel01,1940,1871,1856,1694,1630,1225,1142,1139,1914,1898,1395,1314,1308,1296,1227,1204
2012/11/03,por,hou,95,85,batumni01,lillada01,matthwe02,aldrila01,hicksjj01,leoname01,bartowi01,jeffrja01,parsoch01,hardeja01,pattepa01,linje01,asikom01,delfica01,aldrico01,douglto01,2683,2538,2535,2505,2178,1001,929,476,2796,2443,2284,2238,2115,1206,980,942
