Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2017/10/17,bos,cle,99,102,brownja02,irvinky01,tatumja01,smartma01,horfoal01,roziete01,baynear01,haywago01,jamesle01,crowdja01,rosede01,wadedw01,loveke01,smithjr01,thomptr01,greenje02,2376,2361,2192,2103,1927,1172,1146,315,2472,2084,1875,1710,1704,1315,1176,854
2017/10/17,hou,gsw,122,121,arizatr01,hardeja01,anderry01,paulch01,gordoer01,tuckepj01,mbahalu01,capelca01,thompkl01,duranke01,curryst01,greendr01,youngni01,mccawpa01,livinsh01,pachuza01,2259,2184,1997,1984,1763,1720,1403,1090,2289,2258,1773,1659,1570,1119,1113,614
2017/10/18,mil,bos,108,100,middlkh01,brogdma01,antetgi01,snellto01,dellama01,hensojo01,monrogr01,makerth01,irvinky01,tatumja01,horfoal01,smartma01,brownja02,roziete01,baynear01,ojelese01,2606,2486,2216,1769,1589,1033,1009,825,2336,2192,2007,1940,1689,1608,958,699
2017/10/18,atl,dal,117,111,schrode01,bazemke01,princta02,belinma01,dedmode01,ilyaser01,collijo01,bembrde01,barneha02,matthwe02,ferreyo01,smithde03,nowitdi01,noelne01,bareajo01,harride01,2057,1598,1551,1542,1536,1427,1344,1065,2283,2227,1896,1794,1469,1174,1086,984
2017/10/18,cho,det,90,102,walkeke02,howardw01,lambje01,willima02,zelleco01,kaminfr01,monkma01,bacondw01,johnsst04,harrito02,jacksre01,gallola01,bradlav01,drumman01,smithis01,leuerjo01,2126,1887,1701,1599,1404,1392,1288,1227,2420,2043,1630,1481,1399,1341,1250,1161
2017/10/18,brk,ind,131,140,russeda01,booketr01,leverca01,holliro01,carrode01,crabbal01,linje01,mozgoti01,turnemy01,youngth01,collida01,bogdabo02,josepco01,oladivi01,stephla01,sabondo01,1828,1674,1665,1654,1651,1607,1511,864,2037,2000,1811,1764,1480,1473,1451,1153
2017/10/18,nop,mem,91,103,davisan02,holidjr01,couside01,mooreet01,cunnida01,clarkia01,milleda01,crawfjo02,conlemi01,brookdi01,gasolma01,wrighbr03,chalmma01,harrian01,ennisja01,greenja01,2414,2310,2304,2063,1551,1265,1030,760,1961,1765,1762,1605,1534,1149,1115,233
2017/10/18,mia,orl,109,116,waitedi01,whiteha01,richajo01,dragigo01,winslju01,johnsty01,olynyke01,johnsja01,fournev01,gordoaa01,paytoel01,vucevni01,rosste01,simmojo02,isaacjo01,augusdj01,2298,2174,2096,1837,1396,1278,1260,1122,2065,2053,1903,1897,1872,1652,1017,977
2017/10/18,por,pho,124,76,connapa01,lillada01,aminual01,harklma01,turneev01,nurkiju01,napiesh01,swanica01,jacksjo02,bledser01,warretj01,bookede01,chandty01,danietr01,bendedr01,ulisty01,1924,1779,1662,1533,1520,1381,1362,1050,1921,1766,1673,1624,1377,1277,1249,880
2017/10/18,hou,sac,105,100,hardeja01,gordoer01,arizatr01,tuckepj01,capelca01,anderry01,mbahalu01,hilarne01,hieldbu01,labissk01,hillge01,caulewi01,templga01,foxde01,jacksju01,koufoko01,2266,2089,1946,1746,1700,1541,1441,1057,1969,1966,1955,1898,1794,1416,1166,1053
2017/10/18,min,sas,99,107,butleji01,townska01,wiggian01,gibsota01,teaguje01,crawfja01,jonesty01,muhamsh01,aldrila01,greenda02,anderky01,gasolpa01,murrade01,gayru01,millspa02,ginobma01,2126,2070,1825,1629,1494,1445,1386,849,2329,1962,1781,1728,1524,1422,1346,1248
2017/10/18,den,uta,96,106,harriga01,jokicni01,chandwi01,millspa01,bartowi01,murraja01,mudiaem01,plumlma01,goberru01,inglejo01,rubiori01,favorde01,mitchdo01,sefolth01,johnsjo02,hoodro01,2146,2133,2061,2010,1880,1199,1114,954,2101,1958,1906,1707,1564,1230,1173,1060
2017/10/18,phi,was,115,120,simmobe01,redicjj01,covinro01,bayleje01,embiijo01,saricda01,luwawti01,fultzma01,walljo01,bealbr01,gortama01,porteot01,oubreke01,meeksjo01,scottmi01,smithja02,2080,1943,1748,1672,1617,1362,1101,1074,2229,2137,2066,1990,1949,1143,890,424
2017/10/19,lac,lal,108,92,griffbl01,gallida01,jordade01,riverau01,willilo02,beverpa01,teodomi01,johnswe01,ingrabr01,nancela02,balllo01,lopezbr01,clarkjo01,kuzmaky01,randlju01,denglu01,2032,1983,1900,1586,1481,1447,1287,1189,1831,1770,1761,1724,1351,1122,1078,788
