Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2011/12/25,mia,dal,105,94,jamesle01,wadedw01,hasleud01,anthojo01,chalmma01,boshch01,coleno01,jonesja02,mariosh01,nowitdi01,terryja01,kiddja01,westde01,cartevi01,mahinia01,haywobr01,2176,2079,1936,1538,1461,1439,1419,1106,1758,1753,1729,1655,1478,1241,908,818
2011/12/25,lac,gsw,105,86,billuch01,paulch01,butleca01,griffbl01,jordade01,willima01,cookbr01,gomesry01,ellismo01,leeda02,curryst01,wrighdo01,rushbr01,biedran01,thompkl01,udohek01,2299,2199,2161,2084,1831,1332,945,866,2562,2113,2008,1850,1703,1227,1140,777
2011/12/25,chi,lal,88,87,denglu01,rosede01,boozeca01,noahjo01,brewero02,hamilri01,asikom01,gibsota01,gasolpa01,bryanko01,mcrobjo01,blakest01,artesro01,fishede01,ebankde01,murphtr01,2293,2119,1952,1707,1494,1386,1173,928,2257,2124,2120,1497,1490,1403,1390,1363
2011/12/25,bos,nyk,104,106,rondora01,allenra02,garneke01,daniema01,bassbr01,onealje01,pavloal01,wilcoch01,chandty01,douglto01,stoudam01,fieldla01,anthoca01,shumpim01,walkebi01,jeffrja01,2476,2262,2223,1788,1656,1031,907,843,2208,2104,2082,2032,2015,1322,883,750
2011/12/25,orl,okc,89,97,howardw01,anderry01,nelsoja01,turkohe01,richaja01,redicjj01,davisgl01,duhonch01,duranke01,westbru01,hardeja01,perkike01,ibakase01,collini01,sefolth01,mohamna01,2307,2015,1837,1761,1734,1363,1143,1043,2222,2044,1921,1792,1387,1309,1254,977
2011/12/26,mil,cha,95,96,dunlemi02,bogutan01,jennibr01,livinsh01,ilyaser01,udrihbe01,jacksst02,goodedr01,hendege02,maggeco01,augusdj01,diawbo01,whitedj01,walkeke02,mulleby01,diopde01,2257,2251,2231,2084,1600,1360,1037,827,2333,2320,1836,1801,1301,1237,1185,970
2011/12/26,tor,cle,104,96,johnsja01,johnsam01,caldejo01,bargnan01,derozde01,barbole01,davised01,butlera01,varejan01,jamisan01,geeal01,irvinky01,parkean01,sessira01,gibsoda01,casspom01,2166,1953,1825,1806,1551,1329,1074,714,1951,1843,1679,1561,1554,1319,1294,1233
2011/12/26,den,dal,115,93,lawsoty01,fernaru01,afflaar01,millean02,gallida01,hilarne01,harrial01,mozgoti01,odomla01,nowitdi01,terryja01,westde01,kiddja01,mariosh01,haywobr01,cartevi01,1913,1780,1678,1637,1575,1406,1303,836,1976,1572,1546,1527,1454,1390,1298,1232
2011/12/26,chi,gsw,91,99,denglu01,rosede01,boozeca01,noahjo01,hamilri01,gibsota01,watsocj01,korveky01,curryst01,ellismo01,leeda02,wrighdo01,rushbr01,brownkw01,biedran01,udohek01,2477,2344,1548,1539,1460,1332,1180,1009,2249,2242,2057,2022,1598,1387,821,788
2011/12/26,det,ind,79,91,jerebjo01,princta01,gordobe01,stuckro01,monrogr01,wallabe01,maxieja01,knighbr03,collida01,grangda01,hibbero01,hansbty01,westda01,georgpa01,hillge01,jonesda02,2277,2017,2011,1982,1299,1183,1001,993,2190,2129,1968,1907,1885,1746,1464,751
