Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2009/10/30,chi,bos,90,118,salmojo01,noahjo01,hinriki01,rosede01,thomaty01,millebr01,gibsota01,denglu01,piercpa01,rondora01,wallara01,daniema01,garneke01,willish02,allenra02,perkike01,1910,1692,1634,1437,1420,1356,1356,1175,1880,1795,1542,1523,1480,1460,1397,1142
2009/10/30,nyk,cha,100,102,duhonch01,leeda02,chandwi01,harrial01,robinna01,jeffrja01,gallida01,milicda01,wallage01,diawbo01,feltora01,augusdj01,radmavl01,grahast01,chandty01,hendege02,3334,3006,2734,2725,2151,1666,1375,263,3188,3133,2931,2355,2216,1568,1106,366
2009/10/30,okc,det,91,83,duranke01,greenje02,westbru01,sefolth01,krstine01,thomaet01,hardeja01,collini01,princta01,gordobe01,stuckro01,villach01,wallabe01,bynumwi01,brownkw01,maxieja01,2588,2115,2052,1882,1422,1363,998,960,2639,2375,2199,2020,1932,1456,945,763
2009/10/30,mia,ind,96,83,wadedw01,chalmma01,onealje01,beaslmi01,hasleud01,richaqu01,cookda02,anthojo01,grangda01,murphtr01,jonesso01,jonesda02,watsoea01,fordtj01,hibbero01,rushbr01,2096,2057,1946,1744,1729,1700,1035,934,2234,2199,1896,1809,1578,1223,984,761
2009/10/30,dal,lal,94,80,nowitdi01,mariosh01,terryja01,kiddja01,bareajo01,humphkr01,dampier01,rossqu01,odomla01,bryanko01,bynuman01,fishede01,artesro01,brownsh01,farmajo01,poweljo01,2291,2025,2014,2011,1473,1208,1059,782,2313,2247,1865,1744,1383,1303,1136,799
2009/10/30,tor,mem,107,115,boshch01,turkohe01,bargnan01,caldejo01,wrighan01,jackja01,derozde01,belinma01,gayru01,conlemi01,randoza01,mayooj01,carrode01,gasolma01,willima03,youngsa01,2306,2222,2130,2083,1445,1228,1202,847,2808,2225,2158,2046,1916,1501,655,562
2009/10/30,cle,min,104,87,varejan01,willima01,jamesle01,parkean01,ilgauzy01,gibsoda01,onealsh01,moonja01,breweco01,flynnjo01,jeffeal01,holliry01,wilkida02,ellinwa01,sessira01,gomesry01,2130,2106,2006,1991,1768,1732,1134,820,1817,1582,1525,1500,1436,1382,1298,1253
2009/10/30,orl,njn,95,85,howardw01,redicjj01,pietrmi01,willija02,bassbr01,anderry01,nelsoja01,cartevi01,leeco01,douglch01,harride01,jianlyi01,lopezbr01,boonejo01,willite01,alstora01,2245,1735,1693,1598,1506,1374,1303,883,2429,2135,2055,2013,1504,1355,1203,1012
2009/10/30,sac,noh,92,97,martike02,thompja02,evansty01,nocioan01,mayse01,brockjo01,masonde01,udrihbe01,paulch01,westda01,okafoem01,wrighju01,stojape01,poseyja01,petermo01,brownbo02,2504,2352,1992,1451,1342,1143,1102,1054,2144,2121,1925,1737,1308,1302,1117,1060
2009/10/30,mil,phi,86,99,reddmi01,jennibr01,bogutan01,bellch01,warriha01,mbahalu01,ilyaser01,thomaku01,iguodan01,youngth01,dalemsa01,willilo02,brandel01,kaponja01,speigma01,iveyro01,2324,2056,1888,1862,1158,1078,1061,852,2432,2286,2093,2000,1760,1437,774,527
2009/10/30,gsw,pho,101,123,curryst01,ellismo01,jacksst02,morroan01,randoan01,azubuke01,biedran01,maggeco01,nashst01,hillgr01,fryech01,barbole01,stoudam01,dudleja01,amundlo01,dragigo01,2345,1905,1747,1510,1484,1388,1241,1141,2249,2107,2047,1995,1824,1296,1231,820
2009/10/30,lac,uta,98,111,kamanch01,gordoer01,thornal01,davisba01,cambyma01,butlera01,smithcr01,telfase01,kirilan01,boozeca01,willide01,brewero02,millspa01,fesenky01,pricero01,koufoko01,2504,2400,2202,2088,1808,1046,956,904,2553,2488,2324,2065,1516,1185,1054,759
2009/10/31,cha,cle,79,90,wallage01,feltora01,diawbo01,chandty01,augusdj01,grahast01,hendege02,radmavl01,jamesle01,willima01,varejan01,parkean01,onealsh01,westde01,ilgauzy01,gibsoda01,2134,2038,2018,1913,1728,1337,1055,1041,2234,2099,1996,1836,1604,1454,1200,888
2009/10/31,por,hou,107,111,roybr01,aldrila01,fernaru01,blakest01,millean02,odengr01,przybjo01,webstma02,arizatr01,brookaa01,battish01,lowryky01,hayesch01,landrca01,scolalu01,anderda03,2480,2422,1914,1507,1416,1313,1270,872,2566,2271,2107,1945,1672,1579,1150,561
2009/10/31,dal,lac,93,84,nowitdi01,kiddja01,mariosh01,terryja01,dampier01,humphkr01,bareajo01,rossqu01,kamanch01,gordoer01,cambyma01,butlera01,thornal01,davisba01,telfase01,smithcr01,2502,2389,2296,2116,2082,1176,900,592,2610,2424,1923,1564,1480,1453,1446,1076
2009/10/31,det,mil,85,96,stuckro01,princta01,wallabe01,gordobe01,villach01,bynumwi01,maxieja01,brownkw01,warriha01,jennibr01,mbahalu01,bogutan01,bellch01,reddmi01,delfica01,thomaku01,2652,2429,2257,2236,1419,1212,1066,759,1984,1922,1708,1627,1486,1415,1172,298
2009/10/31,phi,nyk,141,127,iguodan01,youngth01,willilo02,brandel01,speigma01,kaponja01,dalemsa01,iveyro01,gallida01,chandwi01,hughela01,harrial01,duhonch01,leeda02,robinna01,jeffrja01,2718,2687,2546,2172,1793,1313,1128,645,2491,2476,2339,2188,1950,1418,1230,975
2009/10/31,sac,sas,94,113,martike02,hawessp01,thompja02,casspom01,evansty01,masonde01,udrihbe01,mayse01,parketo01,jefferi01,blairde01,ratlith01,masonro01,duncati01,bonnema01,finlemi01,2010,1875,1719,1494,1444,1235,1146,938,1600,1593,1576,1474,1473,1338,1315,928
2009/10/31,njn,was,104,123,leeco01,douglch01,jianlyi01,alstora01,lopezbr01,willite01,najered01,boonejo01,foyera01,millemi01,arenagi01,haywobr01,stevede01,blatcan01,obertfa01,mcgeeja01,2470,2320,1891,1852,1680,1666,1050,771,2177,2093,1761,1731,1704,1660,1426,738
2009/11/01,noh,bos,87,97,paulch01,westda01,stojape01,okafoem01,poseyja01,brownbo02,wrighju01,petermo01,allenra02,piercpa01,rondora01,perkike01,garneke01,daniema01,wallara01,houseed01,2219,2195,1936,1734,1228,1222,1149,886,2435,2213,2161,2072,1992,1112,1069,719
2009/11/01,mem,den,123,133,mayooj01,gasolma01,randoza01,gayru01,conlemi01,carrode01,willima03,thabeha01,martike01,billuch01,anthoca01,hilarne01,anderch01,lawsoty01,afflaar01,cartean01,2267,2044,1958,1875,1733,1353,1147,711,2238,2146,2135,2003,1512,1298,1168,1142
2009/11/01,atl,lal,110,118,johnsjo02,smithjo03,horfoal01,crawfja01,willima02,bibbymi01,teaguje01,pachuza01,artesro01,odomla01,bryanko01,bynuman01,fishede01,farmajo01,waltolu01,poweljo01,2182,1920,1884,1813,1465,1428,1006,983,2375,2371,2258,2221,1779,838,820,478
2009/11/01,chi,mia,87,95,salmojo01,denglu01,rosede01,hinriki01,noahjo01,millebr01,thomaty01,gibsota01,wadedw01,hasleud01,chalmma01,beaslmi01,onealje01,richaqu01,anthojo01,arroyca01,2203,2165,2108,2004,1807,1475,1265,1030,2156,2085,1917,1845,1698,1592,1182,963
2009/11/01,por,okc,83,74,roybr01,webstma02,outlatr01,blakest01,odengr01,millean02,przybjo01,aldrila01,greenje02,duranke01,westbru01,sefolth01,thomaet01,krstine01,hardeja01,collini01,2314,2310,1890,1854,1732,1201,1003,716,2553,2442,1921,1660,1576,1216,1072,1001
2009/11/01,min,pho,112,120,gomesry01,breweco01,jeffeal01,sessira01,ellinwa01,pecheol01,flynnjo01,holliry01,stoudam01,fryech01,nashst01,richaja01,hillgr01,amundlo01,dudleja01,barbole01,2203,2203,2014,1880,1585,1123,1122,690,2240,2180,2178,2048,1954,1068,947,832
2009/11/01,orl,tor,125,116,redicjj01,barnema02,howardw01,nelsoja01,anderry01,bassbr01,gortama01,willija02,turkohe01,boshch01,bargnan01,caldejo01,jackja01,wrighan01,derozde01,nestera01,2690,2393,2190,2175,1772,954,845,705,2435,2371,1929,1811,1499,1493,1125,787
