Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2007/10/30,uta,gsw,117,96,kirilan01,boozeca01,willide01,millspa01,brewero02,giricgo01,hartja01,okurme01,davisba01,ellismo01,azubuke01,harrial01,pietrmi01,biedran01,hudsotr01,barnema02,2400,2180,1905,1701,1666,1105,975,945,2185,2000,1831,1820,1666,1610,947,929
2007/10/30,hou,lal,95,93,mingya01,mcgratr01,battish01,alstora01,hayesch01,jamesmi01,wellsbo01,scolalu01,bryanko01,waltolu01,fishede01,brownkw01,turiaro01,farmajo01,bynuman01,evansma01,2432,2404,2230,1730,1567,1563,1136,537,2560,2348,2043,1670,1463,1229,1167,852
2007/10/30,por,sas,97,106,webstma02,roybr01,aldrila01,przybjo01,jackja01,blakest01,outlatr01,fryech01,duncati01,parketo01,ginobma01,bowenbr01,finlemi01,elsonfr01,bonnema01,obertfa01,2365,2304,2161,1882,1664,1506,1189,564,2149,2136,1760,1602,1378,1254,1145,1135
2007/10/31,dal,cle,92,74,diopde01,nowitdi01,harride01,terryja01,stackje01,jonesed02,hassetr01,bassbr01,goodedr01,hughela01,jamesle01,ilgauzy01,gibsoda01,brownde02,jonesda01,marshdo01,2238,2231,1848,1836,1780,1747,1473,989,2388,2170,2169,2002,1988,1046,927,734
2007/10/31,sea,den,103,120,wilkida02,duranke01,collini01,wilcoch01,westde01,petrojo01,watsoea01,greenje02,anthoca01,iversal01,cambyma01,diawaya01,kleizli01,najered01,martike01,hilarne01,2117,1894,1772,1726,1456,1436,1424,1134,2363,2173,2047,1674,1635,1461,1090,925
2007/10/31,was,ind,110,119,butleca01,arenagi01,jamisan01,haywobr01,daniean01,songada01,stevede01,blatcan01,dunlemi02,tinslja01,grangda01,harrida01,fosteje01,dioguik01,daniema01,dienetr01,2870,2630,2629,1781,1752,1319,1105,824,2747,2254,2161,1866,1755,1357,1197,926
2007/10/31,sas,mem,104,101,parketo01,duncati01,ginobma01,bowenbr01,finlemi01,elsonfr01,bonnema01,obertfa01,gasolpa01,millemi01,stoudda01,gayru01,milicda01,lowryky01,navarju01,jacobca01,2232,2165,1848,1621,1483,1316,1157,954,2469,2183,1842,1685,1669,1275,1011,896
2007/10/31,chi,njn,103,112,gordobe01,denglu01,wallabe01,duhonch01,hinriki01,nocioan01,smithjo02,thomaty01,cartevi01,jefferi01,kiddja01,wrighan01,collija04,nachbbo01,krstine01,armstda01,2894,2638,2261,1807,1514,1445,1378,1332,2760,2697,2445,1674,1556,1253,1166,847
2007/10/31,sac,noh,90,104,salmojo01,martike02,garcifr01,millebr01,mooremi01,abdursh01,greenor01,thomake01,paulch01,chandty01,westda01,stojape01,petermo01,jacksbo01,butlera01,elyme01,2686,2424,1961,1927,1232,1116,995,892,2234,2193,1871,1853,1840,1040,1027,1009
2007/10/31,mil,orl,83,102,reddmi01,willima01,bogutan01,masonde01,jianlyi01,simmobo01,bellch01,villach01,turkohe01,howardw01,lewisra02,nelsoja01,garripa01,doolike01,arroyca01,boganke01,2153,2037,1774,1760,1526,1480,1212,1145,2017,1834,1827,1783,1508,1142,1097,1059
2007/10/31,phi,tor,97,106,iguodan01,greenwi01,korveky01,millean02,dalemsa01,evansre01,carnero01,willilo02,parkean01,fordtj01,delfica01,boshch01,kaponja01,bargnan01,caldejo01,dixonju01,2379,2210,1951,1928,1497,1313,989,952,2099,1859,1817,1547,1404,1344,1072,1058
2007/11/01,det,mia,91,80,princta01,billuch01,wallara01,hayesja01,mcdyean01,maxieja01,murraro01,afflaar01,davisri01,willija02,hasleud01,onealsh01,parkesm01,wrighdo01,blounma01,mournal01,2600,2334,2221,1610,1288,1284,1245,851,2651,2519,1884,1755,1545,1459,1167,938
2007/11/01,pho,sea,106,99,nashst01,mariosh01,hillgr01,stoudam01,bellra01,barbole01,diawbo01,banksma01,duranke01,wilcoch01,collini01,watsoea01,wilkida02,petrojo01,greenje02,westde01,2046,2019,2011,1899,1894,1694,1533,834,2359,2090,1943,1879,1787,1330,1264,802
2007/11/01,hou,uta,106,95,mcgratr01,battish01,hayesch01,scolalu01,mingya01,jamesmi01,alstora01,wellsbo01,willide01,boozeca01,kirilan01,okurme01,brewero02,millspa01,harprma01,collija03,2387,2015,1949,1728,1640,1489,1414,928,2317,2313,2296,2227,1584,851,739,611
2007/11/02,dal,atl,94,101,nowitdi01,stackje01,terryja01,diopde01,bassbr01,jonesed02,hassetr01,harride01,johnsjo02,smithjo03,willima02,willish02,luety01,horfoal01,childjo01,johnsan02,2284,1987,1973,1961,1642,1416,1319,866,2787,2211,2204,1770,1562,1370,1127,475
2007/11/02,was,bos,83,103,arenagi01,jamisan01,butleca01,stevede01,haywobr01,songada01,youngni01,daniean01,piercpa01,garneke01,allenra02,rondora01,perkike01,scalabr01,allento01,houseed01,2414,2278,2088,2068,1941,1457,788,457,2362,2288,2288,1947,1538,1222,976,946
2007/11/02,mil,cha,99,102,reddmi01,bogutan01,masonde01,willima01,bellch01,villach01,jianlyi01,simmobo01,feltora01,wallage01,okafoem01,richaja01,mcinnje01,brezepr01,carroma01,herrmwa01,2297,2051,2035,1868,1616,1430,925,845,2517,2485,2249,2164,1450,1224,1113,692
2007/11/02,phi,chi,96,85,iguodan01,millean02,greenwi01,dalemsa01,evansre01,korveky01,smithja02,willilo02,thomaty01,gordobe01,denglu01,hinriki01,nocioan01,wallabe01,duhonch01,smithjo02,2671,2478,2298,1845,1674,1262,857,572,2558,2554,2115,2040,1672,1475,1166,648
2007/11/02,nyk,cle,106,110,randoza01,crawfja01,richaqu01,curryed01,marbust01,robinna01,leeda02,jonesfr01,jamesle01,hughela01,gibsoda01,ilgauzy01,goodedr01,jonesdw02,jonesda01,brownde02,2442,2282,2151,1975,1873,1625,1426,581,2665,2153,2138,2137,1948,1054,996,725
2007/11/02,mia,ind,85,87,willija02,davisri01,wrighdo01,hasleud01,cookda02,onealsh01,blounma01,mournal01,dunlemi02,grangda01,tinslja01,dioguik01,onealje01,daniema01,harrida01,fosteje01,2243,2091,1935,1881,1736,1683,1306,888,2282,2035,1975,1576,1459,1382,1260,955
2007/11/02,gsw,lac,114,120,davisba01,ellismo01,azubuke01,biedran01,pietrmi01,harrial01,belinma01,barnema02,kamanch01,moblecu01,patteru01,maggeco01,knighbr01,cassesa01,thomati01,rossqu01,2739,2335,2314,2116,1617,1456,832,627,2203,1935,1873,1866,1503,1377,1264,1163
2007/11/02,den,min,99,91,anthoca01,cambyma01,iversal01,wilksmi01,hilarne01,martike01,kleizli01,diawaya01,jeffeal01,telfase01,mccanra01,ratlith01,buckngr01,gomesry01,smithcr01,breweco01,2645,2353,2308,1826,1416,1137,1004,439,2260,2117,1787,1756,1510,1430,1092,895
2007/11/02,tor,njn,106,69,delfica01,bargnan01,boshch01,dixonju01,fordtj01,nestera01,parkean01,kaponja01,jefferi01,nachbbo01,cartevi01,kiddja01,wrighan01,willise01,krstine01,collija04,2060,1793,1651,1419,1364,1261,1155,979,1724,1708,1522,1454,1430,1235,1065,773
2007/11/02,por,noh,93,113,aldrila01,roybr01,webstma02,blakest01,outlatr01,jackja01,fryech01,przybjo01,stojape01,chandty01,petermo01,westda01,paulch01,elyme01,jacksbo01,butlera01,2069,1996,1949,1693,1440,1211,1202,903,1901,1709,1634,1550,1542,1197,1059,989
2007/11/02,det,orl,116,92,princta01,wallara01,billuch01,mcdyean01,murraro01,afflaar01,maxieja01,hayesja01,howardw01,turkohe01,lewisra02,boganke01,nelsoja01,doolike01,arroyca01,garripa01,2058,1845,1814,1672,1665,1545,1426,1361,2273,2112,2075,1951,1632,984,898,720
2007/11/02,lal,pho,119,98,bryanko01,brownkw01,waltolu01,radmavl01,bynuman01,fishede01,farmajo01,turiaro01,mariosh01,bellra01,nashst01,hillgr01,barbole01,stoudam01,diawbo01,skinnbr01,1677,1520,1501,1362,1360,1274,1263,1254,2132,1786,1656,1621,1548,1450,1341,1231
2007/11/02,sac,sas,80,96,martike02,doubyqu01,millebr01,salmojo01,garcifr01,mooremi01,greenor01,thomake01,parketo01,obertfa01,duncati01,ginobma01,udokaim01,bonnema01,bowenbr01,finlemi01,2351,2115,1806,1733,1595,1411,948,705,1860,1540,1529,1473,1468,1453,1307,755
2007/11/03,sac,dal,102,123,martike02,garcifr01,salmojo01,millebr01,mooremi01,watkida01,doubyqu01,greenor01,howarjo01,nowitdi01,terryja01,bareajo01,diopde01,hassetr01,bassbr01,jonesed02,2463,2440,2409,1673,1666,1518,767,561,1970,1792,1752,1715,1531,1281,1208,871
2007/11/03,por,hou,80,89,roybr01,webstma02,aldrila01,outlatr01,blakest01,jackja01,przybjo01,fryech01,mingya01,mcgratr01,battish01,wellsbo01,alstora01,jamesmi01,hayesch01,scolalu01,2499,2093,2019,1556,1545,1539,1180,1005,2342,2288,2151,1577,1464,1416,1401,1169
2007/11/03,ind,mem,121,111,dunlemi02,tinslja01,grangda01,onealje01,dioguik01,fosteje01,daniema01,rushka01,millemi01,gasolpa01,milicda01,lowryky01,stoudda01,jacobca01,gayru01,navarju01,2150,2132,2032,1503,1295,1204,1182,891,2495,2097,1821,1527,1515,1514,1162,1143
2007/11/03,chi,mil,72,78,gordobe01,hinriki01,thomaty01,wallabe01,smithjo02,denglu01,nocioan01,duhonch01,reddmi01,jianlyi01,bellch01,masonde01,gadzuda01,willima01,simmobo01,bogutan01,2231,1981,1696,1637,1546,1519,1433,1285,2516,1989,1762,1734,1306,1284,1111,1098
2007/11/03,njn,phi,93,88,cartevi01,kiddja01,jefferi01,wrighan01,collija04,nachbbo01,krstine01,allenma01,iguodan01,dalemsa01,millean02,korveky01,greenwi01,evansre01,willilo02,carnero01,2241,2203,2173,1801,1447,1068,995,990,2327,2173,2063,1982,1598,1266,1134,1026
2007/11/03,gsw,uta,110,133,biedran01,harrial01,azubuke01,davisba01,ellismo01,pietrmi01,barnema02,belinma01,boozeca01,willide01,okurme01,kirilan01,brewero02,giricgo01,harprma01,millspa01,2322,2310,1962,1735,1724,1423,1273,923,2519,2181,2113,2040,1786,1094,981,738
2007/11/03,orl,was,94,82,lewisra02,boganke01,turkohe01,howardw01,nelsoja01,doolike01,foylead01,garripa01,butleca01,arenagi01,jamisan01,haywobr01,stevede01,songada01,masonro01,daniean01,2580,2467,2362,2243,2141,1152,637,451,2373,2358,2170,1897,1422,1379,1312,601
2007/11/04,noh,den,93,88,paulch01,westda01,chandty01,butlera01,stojape01,jacksbo01,petermo01,pargoja01,iversal01,anthoca01,cambyma01,kleizli01,martike01,hilarne01,diawaya01,najered01,2289,2272,2207,1736,1472,1408,1118,591,2792,2452,2024,1463,1300,1260,1223,1176
2007/11/04,atl,det,91,92,johnsjo02,smithjo03,willima02,horfoal01,luety01,childjo01,lawac01,willish02,wallara01,princta01,billuch01,hamilri01,mcdyean01,maxieja01,hayesja01,murraro01,2379,2321,2312,2183,1538,1479,1342,846,2212,2172,2147,2036,1734,1557,1217,733
2007/11/04,sea,lac,101,115,duranke01,wilkida02,wilcoch01,watsoea01,greenje02,collini01,westde01,szczewa02,maggeco01,kamanch01,thomati01,moblecu01,cassesa01,patteru01,rossqu01,knighbr01,2237,2176,1785,1556,1390,1374,1117,1077,2227,2002,1984,1811,1355,1250,1001,921
2007/11/04,uta,lal,109,119,willide01,boozeca01,okurme01,brewero02,kirilan01,harprma01,millspa01,giricgo01,bryanko01,waltolu01,fishede01,radmavl01,turiaro01,brownkw01,bynuman01,farmajo01,2388,2148,2136,2046,1915,965,919,834,2561,2103,1834,1516,1419,1237,1162,1046
2007/11/04,cha,mia,90,88,richaja01,feltora01,wallage01,okafoem01,mcinnje01,brezepr01,dudleja01,holliry01,wrighdo01,hasleud01,davisri01,willija02,onealsh01,hardaan01,cookda02,mournal01,2633,2521,2423,2311,1448,1340,632,458,2262,2241,1943,1936,1903,1115,1077,977
2007/11/04,min,nyk,93,97,jeffeal01,telfase01,gomesry01,ratlith01,buckngr01,smithcr01,mccanra01,jaricma01,crawfja01,marbust01,curryed01,randoza01,richaqu01,leeda02,balkmre01,robinna01,2229,2218,2163,2002,1665,1394,1319,662,2520,2353,2086,2015,1793,1624,1041,968
2007/11/04,cle,pho,92,103,jamesle01,gibsoda01,goodedr01,ilgauzy01,hughela01,jonesda01,pavloal01,newblir01,mariosh01,bellra01,hillgr01,diawbo01,nashst01,barbole01,skinnbr01,banksma01,2593,2292,2281,2228,1801,1385,1067,753,2742,2429,2408,2264,2110,1406,754,287
2007/11/04,bos,tor,98,95,allenra02,piercpa01,garneke01,perkike01,rondora01,houseed01,poseyja01,scalabr01,boshch01,kaponja01,fordtj01,bargnan01,delfica01,parkean01,dixonju01,caldejo01,2950,2734,2618,1676,1641,1531,1392,972,2643,2158,2078,2057,1824,1734,1115,1102
2007/11/05,hou,dal,98,107,mcgratr01,mingya01,battish01,jamesmi01,hayesch01,alstora01,scolalu01,wellsbo01,diopde01,terryja01,nowitdi01,howarjo01,stackje01,jonesed02,bareajo01,hassetr01,2305,2276,1951,1548,1510,1507,1499,972,2396,2279,2011,1888,1529,1351,1114,1089
2007/11/06,pho,cha,115,83,diawbo01,barbole01,bellra01,mariosh01,nashst01,hillgr01,marksse01,banksma01,wallage01,richaja01,mcinnje01,feltora01,carroma01,okafoem01,dudleja01,brezepr01,2311,2147,2100,1740,1558,1461,978,964,1682,1597,1578,1560,1510,1323,1175,335
2007/11/06,lac,chi,97,91,moblecu01,thomati01,maggeco01,kamanch01,knighbr01,thornal01,cassesa01,davispa01,denglu01,gordobe01,hinriki01,wallabe01,smithjo02,thomaty01,noahjo01,sefolth01,2448,1963,1924,1881,1862,1156,1069,1028,2693,2196,1813,1646,1528,1220,1136,820
2007/11/06,cle,gsw,108,104,jamesle01,ilgauzy01,goodedr01,gibsoda01,pavloal01,brownde02,jonesda01,newblir01,davisba01,biedran01,harrial01,ellismo01,azubuke01,barnema02,pietrmi01,obryapa01,2511,2289,2247,2090,1926,1614,1412,194,2779,2455,2181,2001,1719,1585,1184,274
2007/11/06,sas,hou,81,89,parketo01,duncati01,ginobma01,bowenbr01,finlemi01,elsonfr01,barrybr01,obertfa01,mingya01,battish01,mcgratr01,alstora01,wellsbo01,jamesmi01,hayesch01,headlu01,2418,2191,1796,1781,1756,1357,1290,753,2575,2401,2201,1651,1611,1229,1226,724
2007/11/06,noh,lal,118,104,stojape01,paulch01,westda01,chandty01,butlera01,petermo01,elyme01,armsthi01,bryanko01,turiaro01,bynuman01,waltolu01,fishede01,farmajo01,radmavl01,mihmch01,2306,2106,1994,1985,1462,1418,905,876,2242,2071,1844,1752,1438,1288,1128,1036
2007/11/06,tor,mil,85,112,dixonju01,humphkr01,delfica01,fordtj01,parkean01,kaponja01,boshch01,bargnan01,reddmi01,bogutan01,masonde01,jianlyi01,willima01,simmobo01,villach01,bellch01,1946,1922,1863,1397,1090,1017,943,803,1959,1951,1898,1775,1717,1311,1105,800
2007/11/06,orl,min,111,103,lewisra02,howardw01,boganke01,arroyca01,turkohe01,garripa01,doolike01,foylead01,buckngr01,jeffeal01,jaricma01,breweco01,telfase01,gomesry01,walkean02,mccanra01,2374,2341,2327,2220,1914,1472,1181,539,2357,2111,1777,1745,1624,1513,1301,641
2007/11/06,atl,njn,82,87,childjo01,johnsjo02,smithjo03,horfoal01,willima02,lawac01,luety01,willish02,jefferi01,cartevi01,kiddja01,wrighan01,collija04,nachbbo01,krstine01,armstda01,2243,2204,2147,1756,1557,1524,1493,1132,2177,2162,2073,1919,1532,1389,1134,823
