Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2013/10/29,orl,ind,87,97,afflaar01,vucevni01,nelsoja01,maxieja01,mooreet01,harklma01,oladivi01,nichoan01,georgpa01,stephla01,westda01,hillge01,hibbero01,scolalu01,watsocj01,mahinia01,1979,1839,1834,1579,1545,1410,1355,1157,2165,2138,1843,1744,1614,1243,1194,1002
2013/10/29,lac,lal,103,116,griffbl01,paulch01,jordade01,redicjj01,barnema02,crawfja01,dudleja01,collida01,farmajo01,henryxa01,meeksjo01,gasolpa01,blakest01,youngni01,nashst01,willish03,2409,2158,2129,2029,1708,1554,1363,749,1636,1584,1535,1469,1345,1323,1244,770
2013/10/29,chi,mia,95,107,rosede01,boozeca01,butleji01,hinriki01,denglu01,gibsota01,dunlemi02,noahjo01,jamesle01,wadedw01,boshch01,chalmma01,allenra02,battish01,hasleud01,coleno01,2061,1944,1795,1769,1768,1759,1376,1209,2281,2167,1882,1610,1579,1330,1288,1270
2013/10/30,brk,cle,94,98,johnsjo02,lopezbr01,piercpa01,garneke01,anderal01,willide01,blatcan01,terryja01,thomptr01,varejan01,irvinky01,waitedi01,clarkea01,jackja01,geeal01,milescj01,2063,2017,1791,1577,1406,1304,1217,1143,2091,2076,1855,1761,1626,1350,1128,920
2013/10/30,atl,dal,109,118,millspa01,korveky01,carrode01,teaguje01,horfoal01,schrode01,martica01,brandel01,ellismo01,caldejo01,nowitdi01,mariosh01,dalemsa01,cartevi01,blairde01,ellinwa01,2145,2142,2070,2059,1919,1109,1005,784,2208,2079,1980,1838,1614,1522,1266,822
2013/10/30,was,det,102,113,walljo01,bealbr01,arizatr01,hilarne01,webstma02,booketr01,harrial01,gortama01,monrogr01,smithjo03,bynumwi01,billuch01,singlky01,caldwke01,drumman01,jerebjo01,2339,2295,2258,1818,1255,1217,1104,1013,2486,2383,2285,1838,1640,1624,1578,509
2013/10/30,lal,gsw,94,125,henryxa01,blakest01,farmajo01,johnswe01,gasolpa01,meeksjo01,youngni01,willish03,thompkl01,iguodan01,leeda02,douglto01,curryst01,onealje01,speigma01,bogutan01,2131,1900,1535,1497,1383,1336,1183,691,1864,1669,1594,1469,1437,1190,1185,1079
2013/10/30,cha,hou,83,96,walkeke02,hendege02,kiddgmi01,jeffeal01,mcrobjo01,tayloje03,sessira01,biyombi01,parsoch01,hardeja01,howardw01,linje01,garcifr01,asikom01,casspom01,beverpa01,2083,1895,1836,1823,1787,1666,1160,995,2368,2211,2081,1856,1803,1569,1224,623
2013/10/30,orl,min,115,120,vucevni01,afflaar01,nelsoja01,oladivi01,jonesso01,mooreet01,harklma01,maxieja01,martike02,loveke01,rubiori01,breweco01,pekovni01,cunnida01,bareajo01,shvedal01,2740,2464,2460,2193,1324,1268,1155,1004,2602,2437,2407,2380,1781,1212,1201,950
2013/10/30,ind,nop,95,90,stephla01,georgpa01,hillge01,westda01,mahinia01,hibbero01,scolalu01,watsocj01,davisan02,holidjr01,gordoer01,aminual01,evansty01,smithja02,onuakar01,stiemgr01,2480,2366,2143,2001,1454,1297,995,908,2264,2168,2009,1393,1360,1227,925,898
