Date,Team0,Team1,Score0,Score1,T0P0,T0P1,T0P2,T0P3,T0P4,T0P5,T0P6,T0P7,T1P0,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T0M0,T0M1,T0M2,T0M3,T0M4,T0M5,T0M6,T0M7,T1M0,T1M1,T1M2,T1M3,T1M4,T1M5,T1M6,T1M7
2016/10/25,nyk,cle,88,117,porzikr01,anthoca01,rosede01,holidju01,jennibr01,leeco01,noahjo01,thomala01,jamesle01,irvinky01,jefferi01,smithjr01,loveke01,dunlemi02,thomptr01,fryech01,1968,1805,1775,1587,1274,1177,1171,997,1943,1788,1547,1514,1498,1352,1345,849
2016/10/25,sas,gsw,129,100,aldrila01,leonaka01,simmojo02,parketo01,anderky01,ginobma01,gasolpa01,millspa02,duranke01,curryst01,thompkl01,greendr01,iguodan01,pachuza01,clarkia01,livinsh01,2111,1923,1690,1588,1344,1252,1096,1071,2196,2046,2001,1957,1608,1205,802,774
2016/10/25,uta,por,104,113,goberru01,hillge01,hoodro01,diawbo01,johnsjo02,lylestr01,macksh01,inglejo01,lillada01,mccolcj01,crabbal01,aminual01,turneev01,davised01,harklma01,plumlma01,2457,2325,2259,1930,1830,1075,888,846,2125,2076,1749,1704,1561,1447,1341,874
2016/10/26,brk,bos,117,122,linje01,hamilju01,harrijo01,booketr01,holliro01,bogdabo02,kilpase01,lopezbr01,bradlav01,thomais02,crowdja01,roziete01,horfoal01,johnsam01,brownja02,jerebjo01,1654,1520,1515,1463,1415,1384,1334,1272,2043,1969,1751,1671,1629,1170,1167,1129
2016/10/26,dal,ind,121,130,willide01,matthwe02,bareajo01,nowitdi01,barneha02,bogutan01,anderju01,poweldw01,ellismo01,georgpa01,turnemy01,teaguje01,youngth01,stuckro01,milescj01,jeffeal01,2400,2377,2347,2304,2081,1180,1159,989,2641,2566,2249,2205,2053,1314,753,654
2016/10/26,hou,lal,114,120,hardeja01,gordoer01,anderry01,arizatr01,capelca01,hilarne01,breweco01,dekkesa01,randlju01,russeda01,denglu01,youngni01,clarkjo01,ingrabr01,nancela02,mozgoti01,2231,2067,2061,1971,1540,1337,916,816,1751,1744,1709,1594,1475,1420,1400,1326
2016/10/26,min,mem,98,102,townska01,wiggian01,dienggo01,lavinza01,rubiori01,bjeline01,dunnkr01,rushbr01,harrian01,gasolma01,conlemi01,greenja01,ennisja01,cartevi01,randoza01,baldwwa01,2189,2069,2041,2030,2007,923,913,819,2292,1947,1779,1723,1691,1685,1473,1471
2016/10/26,cho,mil,107,96,walkeke02,kiddgmi01,batumni01,hibbero01,willima02,belinma01,zelleco01,sessira01,antetgi01,parkeja01,monrogr01,dellama01,teletmi01,brogdma01,beaslmi01,plumlmi01,2104,2091,2016,1911,1734,1586,855,776,2324,1790,1760,1747,1649,1285,1159,497
2016/10/26,den,nop,107,102,gallida01,bartowi01,chandwi01,farieke01,mudiaem01,nurkiju01,jokicni01,nelsoja01,davisan02,fraziti01,mooreet01,hillso01,stephla01,joneste01,hieldbu01,asikom01,2263,2086,1813,1696,1686,1561,1268,1194,2474,2206,1689,1623,1530,1064,1010,992
2016/10/26,mia,orl,108,96,winslju01,waitedi01,whiteha01,dragigo01,johnsty01,johnsja01,mcgruro01,babbilu01,fournev01,paytoel01,ibakase01,vucevni01,gordoaa01,greenje02,augusdj01,hezonma01,2037,2011,1859,1717,1698,1512,1417,1128,2363,2250,2176,2149,2106,1514,992,850
2016/10/26,okc,phi,103,97,westbru01,adamsst01,roberan03,oladivi01,kanteen01,singlky01,ilyaser01,sabondo01,covinro01,rodrise01,saricda01,hendege02,stausni01,embiijo01,grantje01,mccontj01,2183,2133,1911,1563,1440,1291,1203,981,1916,1911,1647,1487,1352,1345,1311,969
2016/10/26,sac,pho,113,94,lawsoty01,gayru01,barnema02,afflaar01,couside01,caulewi01,templga01,koufoko01,warretj01,bledser01,knighbr03,dudleja01,bookede01,lenal01,chandty01,chrisma01,2137,1991,1657,1573,1480,1146,1071,803,1824,1767,1549,1548,1473,1449,1376,1332
2016/10/26,det,tor,91,109,caldwke01,harrito02,smithis01,morrima03,drumman01,leuerjo01,baynear01,udrihbe01,lowryky01,valanjo01,derozde01,carrode01,pattepa01,siakapa01,josepco01,rosste01,2329,2176,1995,1905,1449,1354,922,885,2266,2113,2068,1766,1576,1304,1296,1114
2016/10/27,was,atl,99,114,gortama01,walljo01,morrima02,porteot01,bealbr01,oubreke01,thornma01,nichoan01,millspa01,howardw01,bazemke01,muscami01,schrode01,hardati02,sefolth01,korveky01,1936,1817,1659,1548,1422,1332,1205,1131,1848,1808,1568,1541,1508,1369,1319,1301
2016/10/27,bos,chi,99,105,bradlav01,crowdja01,thomais02,horfoal01,roziete01,brownja02,zellety01,johnsam01,butleji01,rondora01,wadedw01,mirotni01,gibsota01,lopezro01,mcderdo01,cartemi01,2436,2126,2087,1803,1359,1226,1218,947,2196,1996,1945,1740,1661,1648,1312,1030
2016/10/27,lac,por,114,106,griffbl01,paulch01,redicjj01,jordade01,riverau01,crawfja01,mbahalu01,feltora01,mccolcj01,lillada01,harklma01,crabbal01,plumlma01,aminual01,turneev01,davised01,2193,1995,1787,1691,1570,1545,1020,970,2281,2171,1938,1895,1830,1498,1393,753
2016/10/27,sas,sac,102,94,leonaka01,aldrila01,anderky01,parketo01,dedmode01,millspa02,gasolpa01,ginobma01,couside01,lawsoty01,afflaar01,gayru01,barnema02,koufoko01,tollian01,templga01,2095,1900,1601,1514,1453,1366,1233,1162,2233,2144,2136,1941,1615,1418,907,736
2016/10/28,ind,brk,94,103,georgpa01,youngth01,ellismo01,turnemy01,teaguje01,milescj01,robingl02,youngjo01,linje01,hamilju01,bogdabo02,booketr01,lopezbr01,kilpase01,holliro01,harrijo01,2167,2134,1977,1974,1712,1248,793,778,2067,1701,1690,1615,1556,1522,1473,1075
2016/10/28,hou,dal,106,98,hardeja01,arizatr01,gordoer01,capelca01,anderry01,mcdankj01,hilarne01,ennisty01,barneha02,matthwe02,willide01,bareajo01,bogutan01,curryse01,anderju01,poweldw01,2151,2140,1982,1507,1480,1334,1149,893,2330,2244,2042,1749,1605,1223,1210,1189
2016/10/28,orl,det,82,108,gordoaa01,paytoel01,fournev01,vucevni01,hezonma01,biyombi01,greenje02,ibakase01,morrima03,leuerjo01,johnsst04,drumman01,harrito02,smithis01,caldwke01,udrihbe01,1749,1657,1638,1560,1462,1371,1164,1159,1744,1693,1682,1654,1639,1560,1437,1172
2016/10/28,cho,mia,97,91,willima02,batumni01,walkeke02,belinma01,kiddgmi01,zelleco01,lambje01,hibbero01,waitedi01,dragigo01,winslju01,johnsty01,whiteha01,johnsja01,reedwi02,babbilu01,2012,1887,1866,1703,1702,1393,1342,269,2046,2030,1922,1728,1609,1397,1265,1188
2016/10/28,gsw,nop,122,114,duranke01,thompkl01,curryst01,greendr01,iguodan01,pachuza01,livinsh01,mccawpa01,davisan02,fraziti01,cunnida01,stephla01,mooreet01,hillso01,hieldbu01,asikom01,2346,2337,2044,2044,1805,1043,914,599,2398,2061,1921,1852,1566,1444,1115,466
2016/10/28,pho,okc,110,113,warretj01,bookede01,chandty01,bledser01,knighbr03,dudleja01,lenal01,chrisma01,westbru01,oladivi01,roberan03,adamsst01,singlky01,sabondo01,ilyaser01,kanteen01,2768,2633,2289,2270,2127,1513,852,653,2719,2622,2385,2382,1971,1049,975,736
2016/10/28,cle,tor,94,91,jamesle01,irvinky01,thomptr01,loveke01,smithjr01,shumpim01,jefferi01,dunlemi02,lowryky01,derozde01,carrode01,pattepa01,valanjo01,josepco01,siakapa01,rosste01,2320,2306,2188,2139,2028,1212,1202,987,2365,2301,2182,2050,1860,1243,895,855
2016/10/28,lal,uta,89,96,denglu01,russeda01,randlju01,willilo02,clarkjo01,youngni01,mozgoti01,nancela02,hillge01,hoodro01,goberru01,johnsjo02,macksh01,exumda01,favorde01,diawbo01,2043,1913,1640,1636,1528,1413,1383,968,2118,1941,1912,1910,1354,1291,1204,1104
2016/10/29,ind,chi,101,118,teaguje01,ellismo01,youngth01,georgpa01,turnemy01,youngjo01,milescj01,robingl02,mcderdo01,butleji01,mirotni01,gibsota01,rondora01,cartemi01,wadedw01,lopezro01,1680,1656,1591,1417,1302,1200,1198,1086,1596,1556,1556,1507,1507,1373,1264,1124
2016/10/29,bos,cho,104,98,bradlav01,thomais02,crowdja01,horfoal01,roziete01,johnsam01,jerebjo01,brownja02,walkeke02,batumni01,willima02,kiddgmi01,kaminfr01,belinma01,zelleco01,hawessp01,2135,2111,2012,1871,1276,1259,1111,756,2158,1968,1810,1477,1458,1403,1270,1222
2016/10/29,orl,cle,99,105,fournev01,paytoel01,ibakase01,greenje02,gordoaa01,vucevni01,augusdj01,biyombi01,jamesle01,irvinky01,loveke01,smithjr01,thomptr01,jefferi01,dunlemi02,shumpim01,2263,2057,1843,1679,1534,1481,1256,1144,2340,2212,1968,1702,1634,1387,1187,1129
2016/10/29,por,den,115,113,lillada01,mccolcj01,plumlma01,harklma01,aminual01,crabbal01,turneev01,davised01,gallida01,bartowi01,mudiaem01,jokicni01,farieke01,chandwi01,nurkiju01,nelsoja01,2482,2477,1943,1932,1907,1733,1512,796,2493,2457,2299,2046,1823,1816,1352,906
2016/10/29,brk,mil,108,110,linje01,bogdabo02,booketr01,hamilju01,kilpase01,holliro01,harrijo01,scolalu01,dellama01,antetgi01,parkeja01,vaughra01,hensojo01,snellto01,monrogr01,plumlmi01,1971,1880,1830,1794,1429,1358,1093,1086,2169,2129,2085,1623,1256,1237,1139,485
2016/10/29,mem,nyk,104,111,gasolma01,greenja01,ennisja01,cartevi01,harrian01,conlemi01,baldwwa01,randoza01,porzikr01,anthoca01,leeco01,rosede01,noahjo01,holidju01,oquinky01,thomala01,1855,1827,1627,1528,1479,1416,1303,1267,2182,2131,2017,1936,1310,1164,1128,1118
2016/10/29,atl,phi,104,72,schrode01,millspa01,korveky01,bazemke01,humphkr01,muscami01,delanma01,howardw01,rodrise01,stausni01,saricda01,covinro01,thompho01,holmeri01,hendege02,embiijo01,1656,1631,1463,1412,1345,1289,1224,1150,1738,1731,1584,1374,1211,1172,1061,928
2016/10/29,min,sac,103,106,townska01,wiggian01,lavinza01,dienggo01,rubiori01,dunnkr01,bjeline01,aldrico01,lawsoty01,gayru01,couside01,afflaar01,barnema02,koufoko01,mclembe01,templga01,2226,2211,2190,2076,1695,1185,756,702,2020,1992,1951,1812,1631,1190,1068,857
2016/10/29,nop,sas,79,98,davisan02,hillso01,fraziti01,mooreet01,gallola01,cunnida01,stephla01,asikom01,leonaka01,anderky01,simmojo02,aldrila01,millspa02,laproni01,gasolpa01,dedmode01,1895,1611,1510,1489,1374,1366,1096,901,1680,1582,1569,1509,1451,1315,1302,957
2016/10/30,mil,det,83,98,antetgi01,dellama01,parkeja01,snellto01,vaughra01,monrogr01,plumlmi01,brogdma01,drumman01,morrima03,caldwke01,harrito02,smithis01,leuerjo01,udrihbe01,johnsst04,2113,1857,1752,1541,1339,1066,1025,1023,2208,2143,2038,1874,1869,1648,1011,937
2016/10/30,dal,hou,92,93,matthwe02,barneha02,willide01,bareajo01,bogutan01,curryse01,anderju01,mejrisa01,hardeja01,arizatr01,gordoer01,anderry01,capelca01,hilarne01,mcdankj01,dekkesa01,2446,2306,1883,1883,1677,1428,1040,1004,2317,1982,1970,1921,1586,1294,968,901
