Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
abdursh01,51.0,7.1,2.8,7.1,2.1,9.9,0.0,0.0
afflaar01,970.0,10.2,1.9,5.1,3.3,7.2,0.4,1.8
agerma01,330.0,11.103333333333333,1.7199999999999998,2.83,3.9,10.01,0.6699999999999999,4.113333333333333
ahearbl01,177.0,14.2,3.9,3.9,1.0,4.7,2.0,6.9
aldrila01,2649.0,18.3,1.7,7.9,7.6,15.7,0.0,0.1
allenma01,2192.0,11.092335766423359,1.4303832116788322,6.412682481751826,5.115784671532847,10.67522810218978,0.0,0.08480839416058394
allenra02,2624.0,17.5,3.1,3.7,3.6,7.3,2.5,6.2
allento01,1373.0,13.0,3.0,4.4,4.0,8.7,0.5,1.5
alstora01,2526.0,13.8,5.6,3.7,3.1,7.4,2.0,5.8
amundlo01,64.0,10.1,0.0,6.8,4.5,9.0,0.0,0.0
anderde01,396.0,12.8,4.0,4.7,2.5,6.6,1.7,4.7
anthoca01,2806.0,25.4,3.3,7.3,8.6,16.9,0.7,2.1
anthojo01,498.0,6.1,0.2,6.7,2.0,4.3,0.0,0.0
arenagi01,425.0,21.3,5.6,4.3,4.7,10.0,1.9,6.6
arizatr01,1092.0,12.670970695970697,2.897344322344322,7.102655677655678,4.221062271062271,7.786904761904761,0.3078754578754579,1.2078754578754578
armstda01,549.0,8.1,4.8,4.4,1.1,2.7,1.5,4.5
armsthi01,732.0,8.8,1.1,8.0,3.3,7.3,0.0,0.0
arroyca01,1269.0,12.2,6.2,3.2,3.6,7.5,0.8,2.4
atkinch01,352.0,11.6,4.8,3.2,1.7,4.4,2.6,8.1
augusja01,149.0,9.7,0.5,7.2,4.3,8.2,0.0,0.0
azubuke01,1732.0,14.4,1.6,6.7,3.9,8.1,1.5,4.1
balkmre01,952.0,8.5,1.5,8.2,3.4,6.6,0.0,0.5
banksma01,1138.0,15.095869947275922,3.877943760984183,2.82311072056239,2.91414762741652,5.62311072056239,2.51792618629174,6.45377855887522
barbole01,2421.0,19.1,3.2,3.4,4.6,8.9,2.4,6.3
bareajo01,460.0,14.9,4.5,3.7,3.9,9.1,1.6,4.2
bargnan01,1861.0,15.3,1.7,5.6,3.7,9.0,1.7,5.0
barnema02,1414.0,12.4,3.5,8.2,3.4,6.6,1.3,4.6
barroea01,889.0,13.2,1.2,8.0,5.3,12.7,0.0,0.5
barrybr01,554.0,14.4,3.5,3.6,1.9,3.1,3.1,7.3
bassbr01,1557.0,15.1,1.3,8.0,5.7,11.3,0.0,0.1
bastoma01,103.0,14.3,1.0,9.1,5.9,8.7,0.0,0.0
battish01,2907.0,9.2,1.9,5.0,1.6,3.1,1.7,4.6
belinma01,241.0,14.2,2.2,2.1,3.0,7.8,2.4,6.1
bellch01,1628.0,11.4,4.6,3.7,2.5,5.9,1.6,4.8
bellra01,2646.0,12.1,2.3,3.7,1.9,4.3,2.4,6.0
bibbymi01,3146.0,15.295104895104895,6.604545454545455,3.6853146853146854,3.5202797202797202,8.105944055944056,2.1248251748251747,5.6744755244755245
biedran01,2078.0,13.8,1.3,12.9,5.9,9.4,0.0,0.0
billuch01,2522.0,18.9,7.6,3.0,3.7,7.6,2.0,4.9
blakest01,2424.0,10.3,6.1,2.9,2.1,5.1,1.8,4.4
blatcan01,1675.0,13.3,2.0,9.1,5.4,11.2,0.1,0.3
blounma01,1542.0,13.6,1.0,6.1,5.2,11.0,0.4,1.0
boganke01,2198.0,11.6,1.7,4.4,1.5,2.9,2.4,6.7
bogutan01,2720.0,14.8,2.6,10.1,6.2,12.0,0.0,0.1
bonnema01,853.0,13.8,1.4,8.1,3.2,6.5,1.9,5.8
boonejo01,1773.0,11.7,1.1,10.3,4.8,8.8,0.0,0.0
boothca01,204.0,4.2,1.4,6.7,1.6,4.8,0.0,0.0
boozeca01,2827.0,21.8,3.0,10.7,9.0,16.5,0.0,0.0
boshch01,2425.0,22.2,2.5,8.7,7.4,14.9,0.1,0.4
bowenbr01,2448.0,7.1,1.3,3.4,1.2,3.1,1.3,3.2
bowenry01,660.0,6.2,1.4,5.5,2.7,5.4,0.0,0.1
boykiea01,577.0,11.5,6.0,2.1,2.9,8.0,0.9,2.7
brandel01,274.0,18.5,2.1,8.4,6.8,15.0,0.0,0.0
breweco01,1803.0,9.2,2.2,5.8,3.5,9.0,0.1,0.7
brewero02,2088.0,15.8,2.3,3.8,5.9,10.1,0.2,0.9
brezepr01,950.0,8.494421052631578,0.8143157894736842,6.113473684210526,3.3265263157894736,7.111052631578947,0.0,0.0
brookaa01,608.0,15.6,5.2,3.3,3.4,6.9,2.1,6.5
brownan01,286.0,12.6,1.0,11.6,4.9,9.8,0.0,0.0
brownde02,1762.0,12.0,3.6,5.4,3.5,7.9,0.9,3.0
brownkw01,1426.0,9.285694249649369,2.293057503506311,9.51444600280505,3.607082748948107,7.192776998597475,0.0,0.0
brownpj01,209.0,6.7,1.7,11.7,2.4,6.9,0.0,0.2
brownsh01,480.0,17.08083333333333,2.521666666666667,3.01375,5.2316666666666665,14.380833333333333,1.38125,4.503333333333332
bryanko01,3192.0,26.2,5.0,5.8,7.0,14.4,1.7,4.7
buckngr01,520.0,8.6,2.7,4.5,2.1,4.6,1.0,3.5
butleca01,2314.0,18.4,4.4,6.0,5.8,11.8,1.0,2.9
butlera01,875.0,10.4,1.5,4.1,1.9,5.2,1.8,5.5
bynuman01,1008.0,16.4,2.2,12.7,6.8,10.6,0.0,0.0
caldejo01,2484.0,13.4,9.8,3.4,4.2,7.6,1.1,2.7
