Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
abdursh01,2015.0,14.2,1.9,7.1,5.5,11.3,0.1,0.4
adamsha01,495.0,12.7,0.9,5.6,5.5,9.7,0.0,0.1
agerma01,214.0,11.6,1.2,3.5,2.9,9.3,0.8,2.5
aldrila01,1392.0,14.6,0.6,8.1,6.2,12.3,0.0,0.1
allenma01,638.0,13.7,0.9,6.7,6.0,14.5,0.0,0.1
allenra02,2219.0,23.6,3.7,4.0,5.5,11.5,2.7,7.2
allento01,805.0,16.9,2.5,5.5,5.6,10.1,0.4,1.5
alstora01,3040.0,12.9,5.3,3.3,2.3,5.8,2.3,6.3
amundlo01,178.0,6.475842696629212,0.39550561797752815,11.319662921348314,2.4219101123595506,6.080337078651685,0.0,0.0
anderal01,256.0,13.8,3.0,4.5,4.5,8.6,0.7,2.8
anderde01,1190.0,12.1,4.0,3.4,2.2,4.3,1.6,4.6
anthoca01,2486.0,27.2,3.6,5.7,9.4,18.9,0.6,2.2
araujra01,248.0,10.5,1.5,9.6,3.9,9.4,0.0,0.0
arenagi01,2942.0,25.8,5.4,4.1,5.4,11.8,2.5,7.1
arizatr01,1278.0,14.3,1.8,7.0,5.6,10.3,0.0,0.2
armstda01,1275.0,12.9,5.4,3.8,2.4,4.6,2.0,6.0
armsthi01,634.0,10.0,0.6,8.5,3.9,7.1,0.0,0.0
arroyca01,1304.0,15.2,5.6,3.7,5.2,11.8,0.4,1.4
atkinch01,2064.0,17.2,6.0,2.4,3.4,7.1,2.0,5.3
azubuke01,669.0,15.7,1.5,5.1,3.4,7.6,1.8,4.3
balkmre01,1064.0,11.3,1.5,9.9,4.5,8.4,0.2,0.9
banksma01,503.0,15.8,4.3,2.7,5.7,12.0,0.4,2.1
barbole01,2613.0,19.9,4.4,2.9,4.7,9.3,2.6,6.0
bareajo01,191.0,14.7,4.5,4.7,4.1,10.7,1.1,4.0
bargnan01,1629.0,16.6,1.1,5.6,3.7,7.9,2.2,5.9
barnema02,1813.0,14.8,3.1,6.9,3.4,6.7,2.1,5.8
barroea01,203.0,11.5,0.9,7.3,4.3,14.5,0.0,0.2
barrybr01,1631.0,14.0,3.0,3.5,1.6,3.0,2.8,6.3
bassbr01,162.0,9.3,0.7,9.6,3.3,9.6,0.0,0.2
bastoma01,405.0,12.3,1.4,6.6,4.1,6.1,0.3,0.6
batises01,81.0,8.9,1.8,13.3,3.6,7.1,0.0,0.0
battito01,1575.0,9.2,0.8,7.9,4.0,8.2,0.0,0.0
battish01,2988.0,10.0,2.1,4.1,1.6,3.4,1.9,4.5
bellch01,2848.0,14.0,3.1,3.0,3.8,7.7,1.6,4.6
bellra01,2917.0,14.1,2.4,3.1,2.5,5.6,2.5,6.1
bibbymi01,2784.0,18.1,5.0,3.4,3.9,8.9,2.2,6.2
biedran01,2382.0,11.8,1.3,11.5,5.3,8.8,0.0,0.0
billuch01,2533.0,16.9,7.1,3.4,3.4,7.1,1.5,4.5
blakest01,4450.0,8.503483146067415,6.601078651685392,2.7131011235955054,2.282089887640449,4.9034831460674155,1.1131011235955057,3.3941123595505616
blalowi01,166.0,5.4,3.7,3.3,1.7,5.4,0.2,1.1
blatcan01,682.0,10.9,2.1,10.1,4.3,9.0,0.2,1.4
blounma01,2544.0,14.3,0.9,7.1,5.9,11.4,0.1,0.4
boganke01,990.0,10.8,2.1,3.4,1.7,3.9,1.9,5.0
bogutan01,2258.0,12.9,3.2,9.3,5.5,9.9,0.0,0.1
