Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
abdursh01,1961.0,16.3,2.7,6.6,6.0,11.2,0.1,0.4
allenma01,701.0,13.7,1.0,7.2,6.2,12.6,0.1,0.1
allenra02,3022.0,23.3,3.4,4.0,4.9,10.1,3.2,7.8
allento01,978.0,13.6,2.5,4.1,4.3,8.8,0.4,1.3
alstora01,2431.0,11.3,6.3,3.8,2.6,6.3,1.5,4.6
anderch01,570.0,10.2,0.4,9.8,3.5,6.2,0.0,0.0
anderal01,564.0,13.2,2.0,4.5,3.3,7.9,1.5,3.7
anderde01,2094.0,12.01160458452722,3.4888252148997134,4.888968481375358,2.316905444126075,5.822492836676218,1.3888252148997133,4.594269340974212
andersh01,638.0,7.1,1.7,4.6,2.8,6.0,0.3,1.1
anthoca01,2941.0,26.0,2.6,4.8,8.8,17.4,0.5,1.9
araujra01,601.0,7.2,0.9,8.6,3.2,8.6,0.0,0.1
arenagi01,3384.0,25.0,5.1,3.0,5.8,12.0,2.1,5.7
arizatr01,1998.0,9.516066066066065,2.191941941941942,7.89994994994995,3.295145145145145,7.998348348348348,0.03548548548548549,0.2
armstda01,622.0,7.5,5.0,4.7,1.9,4.6,0.6,2.8
arroyca01,2388.0,13.514824120603016,7.005778894472361,3.900753768844221,4.871105527638191,10.79572864321608,0.19974874371859297,0.599497487437186
atkinch01,3426.0,14.21663747810858,4.180560420315237,2.496672504378284,2.7211033274956216,6.2744308231173385,2.0322241681260946,5.764448336252189
augmost01,385.0,6.6,2.2,5.0,2.3,6.8,0.0,0.0
bakervi01,85.0,11.4,1.7,8.0,3.0,6.4,0.0,0.0
banksma01,2994.0,13.87812291249165,5.292184368737475,3.2191382765531062,4.724215096860387,9.729291917167668,0.5269539078156312,1.5078156312625248
barbole01,1592.0,16.8,3.6,3.4,4.2,8.4,2.0,4.4
barnema02,1262.0,10.007369255150554,1.6089540412044374,6.906339144215532,3.8073692551505545,7.107923930269413,0.17210776545166404,0.8589540412044374
barrean01,564.0,11.12127659574468,6.61968085106383,3.1781914893617023,4.618617021276595,11.50159574468085,0.2888297872340425,1.7962765957446811
barrybr01,1259.0,12.3,3.5,4.5,2.2,4.1,2.3,5.8
barryjo01,342.0,9.1,2.7,3.3,1.4,3.5,1.3,3.4
basdeed01,141.0,10.0,2.0,7.1,3.6,7.7,0.3,1.8
bassbr01,268.0,9.1,0.4,9.1,3.8,9.4,0.0,0.0
batises01,495.0,7.3,0.5,10.5,2.5,5.7,0.0,0.1
battito01,2215.0,10.5,0.8,7.4,4.6,8.9,0.0,0.1
battish01,2839.0,10.4,1.7,5.4,3.0,5.8,0.8,2.1
baxtelo01,800.0,10.6095,0.394625,10.531,4.06075,9.374375,0.0,0.0
bellch01,1283.0,13.9,3.6,3.4,3.1,6.8,2.0,4.7
bellra01,2959.0,14.1,2.5,3.1,2.8,5.9,2.4,5.4
bibbymi01,3167.0,19.6,5.0,2.7,4.6,10.1,2.2,5.6
biedran01,1000.0,9.3,0.9,10.2,4.2,6.7,0.0,0.0
billuch01,2925.0,18.4,8.6,3.1,2.9,7.2,2.3,5.2
blakest01,1781.0,11.3,6.2,3.0,2.6,5.8,1.5,3.7
blatcan01,175.0,13.4,2.1,7.8,4.7,11.1,0.6,2.7
blounma01,4480.0,14.676875000000003,1.5900892857142859,5.8824330357142856,5.993392857142857,11.786785714285715,0.0,0.0
boganke01,3824.0,11.70878661087866,2.400418410041841,4.789121338912134,2.7939330543933054,6.493096234309623,1.2165271966527196,3.8052301255230128
bogutan01,2348.0,11.8,2.9,8.8,5.0,9.2,0.0,0.0
bonnema01,1710.0,12.3,1.2,6.0,2.3,4.7,2.1,5.1
boothca01,250.0,6.6,1.7,7.5,2.7,6.5,0.1,0.3
boozeca01,1025.0,18.9,3.1,10.0,7.7,14.0,0.0,0.0
boshch01,2751.0,20.6,2.4,8.5,7.2,14.1,0.0,0.2
bowenbr01,2755.0,8.1,1.6,4.2,1.7,3.8,1.4,3.2
bowenry01,652.0,4.9,1.3,4.9,1.9,5.6,0.2,1.2
boykiea01,1542.0,17.6,5.4,1.9,4.9,11.3,1.4,4.2
bradlmi01,367.0,6.6,1.7,10.5,3.0,7.3,0.1,0.5
brandel01,3099.0,22.7,2.4,9.2,8.8,16.6,0.0,0.0
brezepr01,2165.0,16.3,0.7,7.3,6.8,13.1,0.0,0.0
brownde02,1711.0,12.9,2.2,4.4,3.5,8.6,0.8,2.5
brownkw01,1978.0,9.8,1.3,8.6,3.7,7.0,0.0,0.0
brownpj01,2380.0,10.2,1.4,8.3,4.1,8.8,0.0,0.0
brunsri01,492.0,7.914634146341463,5.098373983739837,3.186991869918699,2.302032520325203,6.001219512195122,0.6995934959349593,1.8995934959349592
bryanko01,3277.0,31.1,4.0,4.7,8.8,18.2,2.0,5.7
buckngr01,1758.0,10.1,2.6,4.3,1.9,3.6,1.8,5.0
burkepa01,346.0,14.7,1.7,7.6,6.3,12.5,0.2,0.7
burksan01,570.0,7.1,4.8,2.3,3.2,8.7,0.1,0.4
burleke01,340.0,7.4,5.1,2.8,1.3,3.6,1.1,5.7
butleca01,2708.0,17.5,2.5,6.2,6.0,12.8,0.5,1.6
butleja01,740.0,14.2,1.2,8.9,5.7,10.5,0.0,0.0
butlera01,1875.0,13.2,0.8,4.5,3.2,7.5,1.8,4.6
bynuman01,338.0,7.9,1.0,8.5,3.5,8.7,0.0,0.0
