Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
abrinal01,1055.0,13.9,1.4,2.9,1.4,3.2,3.2,8.4
acyqu01,1116.0,14.330645161290322,1.1940860215053763,7.431182795698925,2.093010752688172,5.161827956989247,2.3725806451612903,5.81989247311828
adamsst01,2389.0,13.6,1.3,9.2,5.6,9.9,0.0,0.0
afflaar01,1580.0,11.7,1.8,2.8,2.8,6.1,1.4,3.4
ajincal01,584.0,12.8,0.7,10.9,5.5,10.7,0.0,0.2
aldrico01,531.0,7.1,1.7,10.7,3.1,5.8,0.0,0.0
aldrila01,2335.0,19.2,2.1,8.1,7.4,15.3,0.4,0.9
allenla01,871.0,7.3,2.4,9.1,3.2,6.9,0.0,0.0
allento01,1914.0,12.1,1.8,7.4,4.9,10.2,0.3,1.0
aminual01,1773.0,10.8,2.0,9.2,2.3,5.2,1.4,4.3
anderch01,114.0,8.8,1.6,9.8,2.8,6.0,0.0,0.9
anderal01,308.0,10.1,1.3,2.8,1.9,4.2,1.6,5.1
anderju01,2456.0,15.601628664495113,1.9187296416938109,7.210179153094463,3.8,7.212540716612378,1.7156351791530946,5.696905537459283
anderky01,1020.0,8.7,3.2,7.3,2.8,6.0,0.5,1.4
anderry01,2116.0,16.7,1.2,5.6,2.0,4.5,3.5,8.6
antetgi01,2845.0,23.2,5.5,8.9,7.7,13.7,0.6,2.3
anthoca01,2538.0,23.5,3.0,6.2,6.4,13.7,2.1,6.0
anthojo01,122.0,7.4,0.9,9.1,3.0,4.7,0.0,0.0
arizatr01,2773.0,12.2,2.3,5.9,1.8,3.2,2.5,7.2
arthuda01,639.0,14.8,2.4,6.3,2.4,5.5,3.0,6.6
asikom01,482.0,6.3,1.1,12.2,2.3,4.9,0.0,0.0
augusdj01,1538.0,14.4,4.9,2.7,2.3,5.7,2.2,6.4
babbilu01,1065.0,11.0,1.2,4.8,0.9,2.4,2.9,7.1
bakerro01,857.0,9.0,4.5,4.1,2.5,5.5,1.0,3.6
baldwwa01,405.0,9.4,5.4,4.1,2.9,8.3,0.3,2.0
barbole01,963.0,15.7,3.0,3.9,5.1,11.0,1.3,3.7
bareajo01,771.0,17.8,9.0,3.9,4.2,9.1,2.5,6.9
barneha02,2803.0,19.5,1.5,5.1,6.7,13.6,1.0,2.9
barnema02,3554.0,10.696173325830049,4.0,7.784608891389983,2.015391108610017,4.261564434440067,1.7769274057400113,5.334637028700056
bartowi01,1705.0,17.3,4.3,5.5,4.4,9.1,1.8,5.0
bassbr01,577.0,18.2,1.3,8.0,6.6,11.4,0.1,0.2
batumni01,2617.0,16.0,6.3,6.6,3.5,7.8,1.9,5.6
bayleje01,71.0,16.7,6.6,6.1,4.6,13.7,1.0,2.5
baynear01,1163.0,11.3,1.0,10.3,4.4,8.6,0.0,0.0
bazemke01,1963.0,14.7,3.2,4.2,3.7,8.3,1.7,4.9
bealbr01,2684.0,23.9,3.6,3.2,5.6,10.3,3.0,7.4
beaslma01,165.0,18.1,2.4,3.7,5.2,9.8,2.0,6.1
beaslmi01,935.0,20.3,2.0,7.4,7.6,14.0,0.7,1.7
belinma01,1778.0,15.8,3.0,3.6,3.3,6.7,2.1,5.7
bembrde01,371.0,9.8,2.7,5.7,4.5,7.8,0.1,1.7
bendedr01,574.0,9.2,1.4,6.5,1.8,3.8,1.8,6.3
bennean01,264.0,15.7,1.6,10.6,3.4,6.0,1.8,6.5
bertada01,808.0,13.5,2.0,4.4,1.5,2.7,3.1,7.7
beverpa01,2058.0,11.2,4.9,6.9,2.1,4.5,1.9,5.0
biyombi01,1793.0,9.7,1.5,11.4,3.6,6.8,0.0,0.0
bjeline01,1190.0,12.2,2.4,7.4,2.9,5.4,1.7,5.4
blackta01,1091.0,12.6,1.3,11.3,4.9,9.6,0.0,0.1
bledser01,2176.0,23.0,6.9,5.3,5.7,12.0,1.7,5.1
bogdabo02,4166.0,19.21541046567451,1.920163226116179,4.8,3.9922947671627464,7.805736917906865,2.4932789246279405,6.778852616418627
bogutan01,1166.0,4.895797598627787,2.997427101200686,13.488421955403087,2.347941680960549,4.895797598627787,0.0,0.09991423670668954
bolomjo01,53.0,14.9,1.4,11.5,5.4,8.2,0.7,2.7
bookede01,2730.0,22.8,3.5,3.3,6.1,13.5,1.9,5.3
booketr01,1754.0,14.6,2.8,11.7,5.7,10.5,0.5,1.6
bradlav01,1835.0,17.5,2.4,6.6,4.9,9.8,2.1,5.4
breweco01,2562.0,10.40304449648712,2.7176814988290396,4.661787665886027,3.379469164715066,6.492779078844652,0.7941061670569868,3.318345042935207
