Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
acyqu01,342.0,12.2,1.2,8.1,4.3,7.7,0.1,0.2
adrieje01,713.0,10.6,1.8,9.9,3.6,8.4,0.0,0.1
afflaar01,2307.0,16.5,3.2,3.7,5.1,10.4,1.1,3.7
aldrico01,776.0,9.305927835051547,0.8097938144329898,11.116752577319588,4.090206185567011,7.417654639175258,0.0,0.0
aldrila01,2790.0,20.1,2.5,8.6,8.2,16.8,0.0,0.2
allenla01,1669.0,9.8,1.6,8.5,4.4,9.8,0.0,0.0
allenra02,2035.0,15.3,2.4,3.8,2.7,5.6,2.5,5.9
allento01,2109.0,12.0,1.7,6.2,4.8,10.5,0.1,0.4
aminual01,2066.0,9.7,1.8,10.2,3.9,7.9,0.1,0.3
amundlo01,744.0,7.393010752688172,1.094758064516129,10.279704301075268,3.0916666666666672,7.8103494623655925,0.0,0.0
anderch01,624.0,11.9,1.0,9.9,4.0,6.9,0.1,0.2
anderal01,1495.0,16.7,2.5,3.6,3.4,8.0,2.3,6.9
anderja01,802.0,13.391396508728182,3.7913965087281793,6.485910224438903,2.7796758104738157,5.917955112219452,1.9,5.374189526184539
anderry01,2503.0,18.8,1.4,7.5,3.7,8.0,3.1,8.0
anthoca01,2482.0,27.8,2.5,6.7,7.4,15.6,2.3,6.0
anthojo01,566.0,5.5,0.8,7.3,2.2,4.3,0.0,0.0
arizatr01,1471.0,13.0,2.8,6.5,2.7,5.9,1.9,5.1
arthuda01,970.0,13.4,1.2,6.3,5.8,12.7,0.2,0.7
asikom01,2464.0,12.2,1.1,14.0,4.9,9.0,0.0,0.0
augusdj01,1226.0,10.5,5.0,2.7,1.1,3.1,2.0,5.6
ayongu01,1468.0,9.988760217983648,3.4889645776566764,9.766348773841962,4.494346049046322,8.205449591280654,0.0,0.0
pendeje02,369.0,14.1,1.5,10.1,5.8,11.9,0.2,0.4
babbilu01,730.0,12.0,1.4,6.8,1.2,2.8,3.1,8.8
barbole01,513.0,15.1,4.1,3.2,4.6,10.2,1.3,3.3
bareajo01,1713.0,17.5,6.2,4.4,4.6,10.0,2.0,5.9
bargnan01,1003.0,15.9,1.4,4.6,4.7,10.9,1.4,4.4
barneha02,2058.0,13.1,1.7,5.8,3.9,8.4,0.9,2.5
barnema02,2058.0,14.4,2.2,6.4,3.5,6.1,1.9,5.7
barroea01,318.0,8.829245283018869,1.1163522012578617,13.808490566037737,4.077987421383647,11.514150943396226,0.0,0.0
bartowi01,894.0,11.9,2.3,5.8,4.4,9.8,0.4,2.6
bassbr01,2239.0,11.3,1.4,6.8,4.6,9.4,0.0,0.0
battish01,1786.0,9.5,1.5,3.3,0.3,0.9,2.7,6.4
batumni01,2807.0,13.4,4.6,5.3,2.4,5.0,2.1,5.7
bayleje01,1765.0,14.1,5.4,3.6,3.9,8.6,1.4,4.1
baynear01,141.0,11.0,1.3,8.2,4.6,8.9,0.0,0.3
bazemke01,267.0,16.6,3.0,3.0,4.4,11.1,1.3,4.6
bealbr01,1745.0,16.1,2.8,4.4,3.9,9.3,1.9,4.9
beaslmi01,1554.0,17.6,2.6,6.5,6.1,14.4,1.0,3.3
