Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
ackeral01,398.0,13.025879396984923,2.1798994974874373,4.309798994974874,4.1708542713567835,10.135678391959798,1.27964824120603,3.601005025125628
adamsha01,52.0,7.6,0.7,4.8,2.8,9.0,0.0,0.0
afflaar01,1234.0,10.6,1.3,3.9,2.6,5.6,1.3,3.1
agerma01,97.0,12.6,1.1,3.7,5.6,13.7,0.0,2.2
ajincal01,182.0,13.8,0.6,5.9,4.9,13.3,0.0,0.4
aldrila01,3004.0,17.6,1.9,7.3,7.1,14.6,0.1,0.3
alexajo01,716.0,14.0,2.1,5.8,4.3,10.0,0.8,2.3
allenma01,579.0,9.7,2.2,6.4,4.5,10.5,0.0,0.1
allenra02,2876.0,17.9,2.7,3.5,3.8,6.9,2.5,6.1
allento01,887.0,14.6,2.7,4.2,5.3,10.4,0.2,1.1
almonmo01,255.0,13.0,1.0,5.1,4.0,9.0,0.7,2.4
alstora01,4894.0,13.217306906416018,5.969963220269718,3.3349816101348586,3.009889660809154,7.1973436861463025,1.6125459746628525,4.875091949325705
amundlo01,1044.0,11.1,1.0,9.3,4.6,8.6,0.0,0.0
anderch01,1460.0,11.1,0.8,10.9,3.9,7.0,0.0,0.2
anderry01,1312.0,13.4,1.4,8.5,2.5,6.0,1.9,5.2
anthoca01,2277.0,23.8,3.5,7.1,7.5,16.4,1.0,2.7
anthojo01,1048.0,4.9,0.9,6.8,2.0,4.1,0.0,0.0
arenagi01,63.0,14.9,11.4,5.1,2.3,9.1,1.1,4.0
arizatr01,1999.0,13.1,2.6,6.3,3.8,7.3,1.1,3.4
armsthi01,1092.0,11.1,1.0,6.4,4.5,8.0,0.0,0.1
arthuda01,1464.0,10.4,1.1,8.5,4.7,10.7,0.0,0.0
atkinch01,824.0,8.586043689320388,5.197815533980583,2.1081310679611653,1.6802184466019416,4.901092233009709,1.3058252427184467,4.969781553398058
augusdj01,1908.0,16.0,4.7,2.5,3.0,7.1,2.0,4.6
azubuke01,2375.0,16.1,1.8,5.6,4.5,9.6,1.4,3.2
balkmre01,780.0,12.2,1.6,9.4,5.0,8.8,0.1,0.3
banksma01,412.0,9.789805825242718,4.9082524271844665,3.141747572815534,3.1150485436893205,6.611650485436893,0.49854368932038834,3.295631067961165
barbole01,1705.0,21.0,3.4,3.8,5.8,11.0,1.9,5.1
bareajo01,1600.0,13.9,6.1,4.0,4.3,9.1,1.2,3.5
bargnan01,2453.0,17.6,1.4,6.1,4.6,9.8,1.7,4.3
barnema02,2082.0,13.6,3.7,7.3,2.9,5.8,2.0,5.9
barrybr01,857.0,8.7,3.3,3.9,0.9,1.7,2.1,5.5
bassbr01,1574.0,15.7,1.0,8.4,5.8,11.5,0.0,0.1
bastoma01,217.0,11.1,1.2,8.6,4.1,7.5,0.0,0.2
battito01,1202.0,11.1,0.9,8.3,4.7,9.4,0.1,0.3
battish01,2031.0,7.7,2.4,5.1,1.0,2.1,1.6,4.2
batumni01,1454.0,10.5,1.8,5.4,2.5,4.8,1.5,4.2
bayleje01,655.0,12.5,4.3,3.1,3.4,8.9,0.4,1.5
beaslmi01,2009.0,20.1,1.5,7.9,7.5,15.7,0.6,1.5
belinma01,882.0,15.2,3.6,2.9,3.6,7.6,2.1,5.3
bellch01,1783.0,11.9,3.0,2.7,2.6,5.7,1.8,4.8
bellra01,4630.0,12.415550755939524,2.19622030237581,3.7769762419006483,2.873196544276458,6.407904967602592,1.7922678185745142,4.223023758099352
bibbymi01,2740.0,15.5,5.2,3.7,3.5,7.6,2.2,5.6
biedran01,1863.0,14.2,2.3,13.4,6.0,10.3,0.0,0.0
billuch01,5578.0,18.083488705629254,6.515059160989602,3.0763535317318036,3.1924704195051996,7.4962352097526,2.086195769092865,5.129921118680531
blakest01,2188.0,12.5,5.7,2.8,2.3,5.2,2.3,5.4
blatcan01,1703.0,15.1,2.5,8.0,6.2,12.9,0.1,0.4
blounma01,207.0,13.7,0.7,7.1,3.3,8.9,1.9,4.7
boganke01,2544.0,10.288836477987422,1.79064465408805,5.724095911949686,1.3025157232704403,2.9812893081761005,2.095322327044025,6.19064465408805
bogutan01,1124.0,13.5,2.3,11.8,5.9,10.2,0.0,0.0
bonnema01,1928.0,12.5,1.5,7.2,2.8,5.0,2.2,5.0
boonejo01,995.0,9.3,1.1,9.3,4.1,7.7,0.0,0.0
boothca01,112.0,10.306250000000002,0.0,7.063392857142857,3.2205357142857145,6.391964285714287,0.0,0.0
boozeca01,1197.0,18.0,2.4,11.6,7.5,15.4,0.0,0.0
boshch01,2928.0,21.5,2.3,9.5,7.4,14.9,0.1,0.6
bowenbr01,1506.0,5.1,1.0,3.5,0.9,2.1,1.0,2.3
bowenry01,219.0,7.7,1.5,3.9,3.6,6.2,0.0,0.0
brandel01,920.0,15.6,1.4,9.9,6.4,14.3,0.0,0.0
breweco01,307.0,10.9,2.9,5.7,3.8,9.1,0.6,1.4
brewero02,2605.0,15.4,2.5,4.1,5.5,10.3,0.3,1.2
brookaa01,1998.0,16.1,4.3,2.8,3.7,8.5,2.0,5.6
brownbo02,1862.0,13.989957035445757,4.49500537056928,2.00499462943072,3.7149838882921595,8.907465091299677,1.7412459720730395,5.01374865735768
brownde03,522.0,6.305363984674329,4.985632183908046,3.9890804597701153,1.5088122605363983,3.421264367816092,0.971455938697318,3.30727969348659
brownde02,869.0,13.6,2.2,4.9,3.4,8.9,1.2,4.0
brownkw01,999.0,8.8,1.2,10.5,3.2,6.1,0.0,0.0
brownsh01,954.0,15.22851153039832,2.892976939203354,3.2991614255765196,4.821698113207547,9.6646750524109,1.0640461215932915,2.8144654088050314
bryanko01,2960.0,26.8,4.9,5.2,8.3,16.7,1.4,4.1
buckngr01,878.0,6.4,2.3,5.3,2.0,4.4,0.5,2.1
butleca01,2585.0,19.4,4.0,5.8,5.9,12.2,0.9,2.9
butlera01,2614.0,12.7,1.0,3.7,2.9,6.1,1.9,4.9
bynuman01,1446.0,17.8,1.8,9.9,7.0,12.5,0.0,0.0
bynumwi01,803.0,18.4,7.0,3.4,6.9,14.5,0.1,0.9
caldejo01,2333.0,13.5,9.4,3.0,3.7,6.8,1.3,3.1
cambyma01,1925.0,12.0,2.4,12.9,4.7,9.2,0.0,0.1
cardibr01,909.0,7.5,3.0,5.6,1.4,3.0,1.2,3.6
carnero01,1199.0,14.4,0.8,3.8,2.9,5.9,2.4,6.8
carroma01,1232.0,9.580762987012985,1.585551948051948,4.031331168831169,3.0012175324675323,6.88133116883117,0.7813311688311687,3.089772727272728
cartean01,1787.0,8.3,7.3,4.1,2.9,6.0,0.4,1.8
cartevi01,2946.0,20.3,4.6,5.0,5.3,11.6,1.8,4.8
chalmma01,2626.0,11.2,5.5,3.1,2.2,4.8,1.6,4.3
chandty01,1445.0,9.9,0.5,9.8,4.0,7.1,0.0,0.0
chandwi01,2735.0,15.6,2.2,5.9,4.6,9.7,1.4,4.1
collija03,201.0,7.2,1.3,6.6,2.9,6.3,0.0,0.0
collija04,422.0,4.9,0.9,6.0,1.9,6.0,0.0,0.0
collima01,1780.0,10.174719101123596,4.512640449438202,4.324719101123596,3.7042134831460674,8.737921348314607,0.5247191011235955,1.2584269662921348
collini01,1831.0,11.5,1.3,9.6,4.8,8.4,0.0,0.0
conlemi01,2508.0,12.8,5.1,4.0,3.4,7.4,1.3,3.1
cookbr01,342.0,15.596198830409355,1.0792397660818713,6.7365497076023395,3.195029239766082,9.676315789473684,2.714619883040936,6.323099415204679
cookda02,1833.0,13.5,1.4,3.7,1.7,4.9,3.0,7.8
crawfja01,4958.0,18.61068979427188,4.17371924162969,2.7893102057281163,4.002561516740621,9.086748688987493,2.0606897942718843,5.72650262202501
crittja01,2348.0,9.71243611584327,4.5906303236797275,5.096252129471891,3.983730834752981,8.3118398637138,0.09812606473594548,0.4574957410562181
croshau01,200.0,14.392500000000002,3.2185,12.2175,3.227,8.623500000000002,1.7855,5.388000000000001
dalemsa01,2036.0,9.2,0.3,12.4,3.8,7.6,0.0,0.0
dampier01,1836.0,8.9,1.5,11.1,3.6,5.5,0.0,0.0
daniean01,2042.0,10.584573947110677,6.229480901077374,2.7,2.6884427032321256,6.2050930460333005,0.77179236043095,2.10896180215475
daniema01,1700.0,15.5,2.4,5.3,6.2,12.7,0.4,1.9
davidje01,111.0,13.6,0.3,11.0,5.5,11.4,0.0,0.0
davisba01,2248.0,15.5,8.0,3.8,4.1,10.1,1.6,5.3
davisgl01,1637.0,11.7,1.5,6.6,4.3,9.8,0.0,0.1
davispa01,320.0,12.0,1.4,7.5,4.5,10.9,0.0,0.1
davisri01,785.0,10.6,3.8,2.8,2.2,6.1,1.6,5.1
denglu01,1665.0,14.9,2.0,6.4,5.6,12.3,0.2,0.4
diawbo01,5508.0,13.985112563543936,4.393718228031953,5.640232389251997,4.869535221496006,9.212091503267974,0.9718591140159768,2.3741830065359477
diawaya01,851.0,9.0,1.1,3.5,1.1,2.3,2.2,6.9
dienetr01,719.0,10.3,6.1,4.3,1.4,3.1,2.3,5.9
dioguik01,430.0,19.90232558139535,0.5141860465116279,9.395348837209303,6.384186046511627,12.070930232558139,0.19906976744186045,0.31511627906976747
diopde01,2072.0,5.904633204633205,1.1063706563706566,9.506370656370654,2.5945945945945947,5.926447876447877,0.0,0.0
dixonju01,816.0,11.5,5.2,3.0,3.4,8.0,1.1,3.3
doolike01,2074.0,13.0,4.7,2.7,2.8,6.3,1.7,4.1
doubyqu01,600.0,13.793333333333333,3.0123333333333333,3.839166666666667,3.385166666666667,7.6931666666666665,1.6986666666666668,5.5175
douglch01,585.0,13.3,3.2,3.1,4.8,10.1,0.2,0.7
dragigo01,728.0,12.2,5.5,5.1,3.4,8.4,1.0,2.7
