Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
acyqu01,1287.0,11.1,1.9,8.4,3.7,7.6,0.5,1.7
adamsjo01,248.0,13.6,2.3,4.1,3.6,8.9,1.5,3.6
adamsst01,1771.0,10.9,1.3,10.6,4.4,8.1,0.0,0.0
adrieje01,215.0,10.0,2.5,12.9,3.2,7.4,0.0,0.0
afflaar01,5004.0,14.904076738609113,1.8797761790567544,3.574860111910472,3.7046362909672257,7.914468425259792,1.7,4.79480415667466
ajincal01,957.0,16.7,1.8,11.8,6.8,12.4,0.0,0.0
aldemfu01,540.0,6.2,1.9,11.7,2.7,4.9,0.0,0.3
aldrico01,976.0,12.5,2.8,12.5,5.3,11.1,0.0,0.0
aldrila01,2512.0,23.8,1.8,10.4,8.9,18.8,0.5,1.5
allenla01,1070.0,10.6,2.5,10.9,4.7,10.1,0.0,0.0
allento01,1648.0,11.8,1.9,6.1,4.7,9.3,0.2,0.6
aminual01,1366.0,10.9,1.6,9.0,3.0,6.1,0.9,3.3
amundlo01,1874.0,9.972358591248666,2.6831376734258274,10.295197438633938,4.1903948772678765,9.801867662753468,0.0,0.0
anderch01,1132.0,10.2,1.4,9.5,3.7,6.2,0.1,0.4
anderal01,1744.0,11.3,1.7,4.2,2.5,4.7,1.5,4.3
anderky01,358.0,7.4,2.8,7.2,2.8,7.8,0.3,1.1
anderry01,1675.0,17.9,1.2,6.3,3.6,8.0,2.6,7.7
antetgi01,2541.0,14.6,2.9,7.7,5.3,10.4,0.1,0.6
anthoca01,1428.0,24.4,3.1,6.7,7.5,15.8,1.5,4.5
anthojo01,406.0,7.7,0.4,8.2,3.2,5.5,0.0,0.0
anticpe01,1037.0,12.4,1.7,6.6,1.9,4.3,1.8,6.0
arizatr01,2930.0,12.9,2.6,5.6,2.1,4.4,2.4,6.8
arthuda01,988.0,13.9,2.1,6.2,4.7,10.0,0.9,4.0
asikom01,1982.0,10.1,1.3,13.6,3.9,7.5,0.0,0.0
augusdj01,3928.0,14.236532586558045,6.484648676171081,2.968940936863544,3.2052953156822808,7.377825865580448,1.518940936863544,4.505117107942973
pendeje02,383.0,12.9,1.3,11.0,5.2,8.9,0.0,0.0
babbilu01,830.0,11.1,1.0,4.8,1.4,3.3,2.6,5.0
bairsca01,64.0,5.6,0.6,4.5,1.7,7.9,0.0,0.0
barbole01,982.0,17.1,3.6,3.3,5.1,10.0,1.6,4.1
bareajo01,1362.0,15.3,7.0,3.5,4.5,9.8,1.4,4.4
bargnan01,785.0,19.7,2.1,5.8,6.8,14.7,0.7,1.9
barneha02,2318.0,12.8,1.8,7.0,3.6,6.8,1.4,3.3
barnema02,2271.0,12.1,1.8,4.8,2.2,3.9,2.2,6.0
barroea01,143.0,8.1,1.3,7.0,2.5,8.8,0.5,1.0
bartowi01,1966.0,14.525991861648016,2.9610376398779246,5.90325534079349,4.6779247202441505,9.8,0.8237029501525941,3.101627670396745
bassbr01,1929.0,16.2,1.9,7.4,6.3,12.1,0.2,0.6
batumni01,2380.0,10.0,5.2,6.3,2.1,4.4,1.5,4.7
bayleje01,1717.0,12.5,4.9,4.4,3.8,8.3,0.8,2.5
baynear01,1122.0,14.8,1.1,10.2,5.9,10.4,0.0,0.1
bazemke01,1324.0,10.6,2.1,6.0,2.5,5.4,1.3,3.6
bealbr01,2107.0,16.4,3.3,4.1,4.4,10.1,1.8,4.4
beaslmi01,505.0,15.1,2.3,6.3,6.0,12.7,0.6,2.4
belinma01,1388.0,14.7,2.4,4.1,2.9,6.2,2.2,6.0
bennean01,894.0,12.0,1.9,8.7,4.8,11.0,0.3,0.9
beverpa01,1727.0,11.8,4.0,4.9,1.9,4.4,2.4,6.7
biyombi01,1243.0,8.8,0.5,11.8,2.9,5.4,0.0,0.0
blackta01,2392.0,11.406396321070234,1.268561872909699,11.081438127090303,4.702132107023411,8.185702341137125,0.0,0.016429765886287626
blairde01,180.0,11.2,0.6,11.2,5.2,11.4,0.0,0.0
blakest01,1529.0,8.2,6.8,3.2,1.1,2.5,1.8,5.2
bledser01,2800.0,17.7,6.3,5.4,4.9,10.0,1.1,3.5
blueva01,74.0,10.7,3.9,4.4,3.4,9.7,1.0,4.9
bogdabo02,1854.0,13.6,1.3,4.1,3.3,6.2,1.8,5.0
bogutan01,1583.0,9.6,4.1,12.3,4.5,8.1,0.0,0.0
bonnema01,935.0,10.2,1.8,4.4,1.8,4.0,1.8,4.9
booketr01,1564.0,13.1,1.9,9.1,4.5,8.7,0.7,1.9
boozeca01,1692.0,17.8,2.0,10.3,7.9,15.8,0.0,0.0
boshch01,1556.0,21.5,2.2,7.2,6.5,13.3,1.5,3.9
bradlav01,2428.0,15.9,2.0,3.6,4.6,9.8,1.8,5.2
brandel01,486.0,7.1,1.6,7.4,3.1,7.0,0.0,0.1
breweco01,4174.0,15.797220891231435,2.9769525634882603,5.117417345471969,4.834834690943939,9.81741734547197,1.0870867273598466,4.09384283660757
brookaa01,1885.0,18.2,5.0,3.2,4.3,9.6,2.3,6.0
