Name,mp,pp36,ap36,rp36,2pmp36,2pap36,3pmp36,3pap36
adrieje01,63.0,12.0,0.6,12.6,4.0,9.1,0.0,0.0
afflaar01,2086.0,16.3,2.6,3.4,4.2,8.2,1.5,3.8
alabiso01,122.0,9.7,0.9,13.9,3.8,10.6,0.0,0.0
aldrico01,173.0,11.9,0.6,10.0,4.6,8.7,0.0,0.0
aldrila01,1994.0,21.5,2.4,8.0,8.7,16.8,0.0,0.2
allenla01,624.0,9.7,2.0,9.9,4.6,9.6,0.0,0.0
allenra02,1565.0,15.1,2.5,3.3,2.8,6.0,2.4,5.4
allento01,1525.0,13.4,1.9,5.5,4.8,10.0,0.2,0.6
almonmo01,67.0,7.5,1.1,4.3,2.7,7.5,0.5,1.6
aminual01,1477.0,9.7,1.6,7.5,3.3,7.8,0.3,1.1
amundlo01,753.0,10.2,0.7,10.6,4.3,9.9,0.0,0.0
anderch01,486.0,12.4,0.4,11.0,4.4,8.0,0.0,0.0
anderal01,461.0,12.7,2.0,2.7,2.4,6.3,1.9,4.8
anderja01,603.0,11.3,2.4,4.7,2.8,6.3,1.1,4.1
anderry01,1964.0,18.0,1.0,8.6,3.0,6.1,3.0,7.7
anthoca01,1876.0,23.9,3.8,6.6,7.2,15.8,1.3,3.9
anthojo01,1349.0,5.8,0.2,6.7,2.3,4.1,0.0,0.0
arenagi01,211.0,12.3,3.1,3.1,2.2,4.3,2.2,6.7
arizatr01,1350.0,11.8,3.6,5.7,3.7,8.4,0.8,2.3
asikom01,971.0,7.6,1.2,13.0,2.9,5.8,0.0,0.0
augusdj01,1408.0,13.6,7.8,2.8,3.1,7.9,1.6,4.6
ayongu01,1088.0,10.6,2.4,8.8,4.6,8.6,0.0,0.0
pendeje02,106.0,11.5,1.4,11.2,5.1,12.2,0.0,0.0
babbilu01,537.0,13.5,1.1,6.4,1.9,4.9,2.9,6.7
balkmre01,115.0,13.1,1.6,8.1,4.4,7.2,0.6,2.8
barbole01,2764.0,18.4294500723589,2.4973227206946453,3.307742402315484,5.38451519536903,12.192547033285093,1.6946454413892909,4.410419681620839
bareajo01,1032.0,16.2,8.1,4.0,4.0,9.6,1.8,5.0
bargnan01,1032.0,21.0,2.1,6.0,6.1,12.9,1.2,4.0
barnema02,1440.0,12.3,3.2,8.6,3.2,6.2,1.1,3.4
bassbr01,1868.0,14.2,1.1,7.0,5.8,12.2,0.0,0.0
battito01,295.0,5.1,2.0,8.2,2.3,6.1,0.0,0.1
battish01,1499.0,7.5,2.0,3.7,1.2,2.6,1.5,4.4
batumni01,1791.0,16.4,1.7,5.4,3.7,7.4,2.2,5.5
bayleje01,705.0,18.0,6.0,3.4,3.7,8.8,2.2,5.3
beaslmi01,1087.0,17.9,1.5,6.9,6.1,13.1,1.3,3.3
beaubro01,1151.0,14.8,4.8,4.7,4.7,9.8,1.2,4.1
belinma01,1966.0,14.3,1.8,3.1,3.3,7.4,2.0,5.2
bellra01,796.0,9.8,1.7,2.2,2.1,3.9,1.5,3.9
bibbymi01,557.0,6.7,5.2,3.8,0.5,2.5,1.7,5.5
biedran01,739.0,3.8,0.8,8.6,1.9,3.1,0.0,0.0
billuch01,607.0,17.7,4.7,3.0,2.1,6.1,2.8,7.4
biyombi01,1455.0,8.1,0.7,9.1,3.2,6.9,0.0,0.0
blairde01,1363.0,16.1,2.1,9.3,7.1,13.3,0.0,0.0
blakest01,1237.0,8.0,5.1,2.5,1.4,3.2,1.5,4.6
blatcan01,626.0,12.7,1.6,8.6,5.2,13.7,0.1,0.4
